G,Date,Time,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak,Arena
1,"Wed, Nov 25, 2020",9:30p,REG,N,Villanova (3),Big East,L,67,76,,0,1,L 1,Mohegan Sun Arena
2,"Thu, Nov 26, 2020",7:00p,REG,N,Rhode Island,A-10,W,69,64,,1,1,W 1,Mohegan Sun Arena
3,"Mon, Nov 30, 2020",6:00p,REG,N,St. John's (NY),Big East,L,93,97,,1,2,L 1,Mohegan Sun Arena
4,"Thu, Dec 3, 2020",9:30p,REG,N,Florida,SEC,L,70,90,,1,3,L 2,Mohegan Sun Arena
5,"Tue, Dec 8, 2020",7:00p,REG,@,Minnesota,Big Ten,L,80,85,OT,1,4,L 3,Williams Arena
6,"Sat, Dec 12, 2020",1:00p,REG,,Syracuse,ACC,L,63,101,,1,5,L 4,Silvio O. Conte Forum
7,"Tue, Dec 22, 2020",12:00p,REG,,Maine,AEC,W,78,62,,2,5,W 1,Silvio O. Conte Forum
8,"Wed, Dec 30, 2020",8:00p,REG,@,North Carolina State,ACC,L,76,79,,2,6,L 1,PNC Arena
9,"Sat, Jan 2, 2021",12:00p,REG,,Louisville,ACC,L,64,76,,2,7,L 2,Silvio O. Conte Forum
10,"Wed, Jan 6, 2021",8:30p,REG,@,Duke (21),ACC,L,82,83,,2,8,L 3,Cameron Indoor Stadium
11,"Sat, Jan 9, 2021",2:00p,REG,,Virginia (22),ACC,L,49,61,,2,9,L 4,Silvio O. Conte Forum
12,"Tue, Jan 12, 2021",7:00p,REG,,Miami (FL),ACC,W,84,62,,3,9,W 1,Silvio O. Conte Forum
13,"Sat, Jan 16, 2021",4:00p,REG,@,Notre Dame,ACC,L,70,80,,3,10,L 1,Purcell Pavilion at the Joyce Center
14,"Sat, Feb 6, 2021",12:00p,REG,,North Carolina State,ACC,L,65,81,,3,11,L 2,Silvio O. Conte Forum
15,"Wed, Feb 10, 2021",7:00p,REG,,Wake Forest,ACC,L,65,69,,3,12,L 3,Silvio O. Conte Forum
16,"Sat, Feb 13, 2021",2:00p,REG,@,Syracuse,ACC,L,67,75,,3,13,L 4,Carrier Dome
17,"Sat, Feb 27, 2021",2:00p,REG,,Notre Dame,ACC,W,94,90,,4,13,W 1,Silvio O. Conte Forum
18,"Wed, Mar 3, 2021",9:00p,REG,@,Florida State (11),ACC,L,64,93,,4,14,L 1,Donald L. Tucker Center
19,"Fri, Mar 5, 2021",6:00p,REG,@,Miami (FL),ACC,L,76,80,,4,15,L 2,BankUnited Center
20,"Tue, Mar 9, 2021",4:30p,CTOURN,N,Duke,ACC,L,51,86,,4,16,L 3,Greensboro Coliseum
