G,Date,Time,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak,Arena
1,"Sat, Nov 28, 2020",2:00p,REG,,Coppin State,MEAC,W,81,71,,1,0,W 1,Cameron Indoor Stadium
2,"Tue, Dec 1, 2020",7:30p,REG,,Michigan State (8),Big Ten,L,69,75,,1,1,L 1,Cameron Indoor Stadium
3,"Fri, Dec 4, 2020",7:00p,REG,,Bellarmine,A-Sun,W,76,54,,2,1,W 1,Cameron Indoor Stadium
4,"Tue, Dec 8, 2020",9:30p,REG,,Illinois (6),Big Ten,L,68,83,,2,2,L 1,Cameron Indoor Stadium
5,"Wed, Dec 16, 2020",9:00p,REG,@,Notre Dame,ACC,W,75,65,,3,2,W 1,Purcell Pavilion at the Joyce Center
6,"Wed, Jan 6, 2021",8:30p,REG,,Boston College,ACC,W,83,82,,4,2,W 2,Cameron Indoor Stadium
7,"Sat, Jan 9, 2021",12:00p,REG,,Wake Forest,ACC,W,79,68,,5,2,W 3,Cameron Indoor Stadium
8,"Tue, Jan 12, 2021",7:00p,REG,@,Virginia Tech (20),ACC,L,67,74,,5,3,L 1,Cassell Coliseum
9,"Tue, Jan 19, 2021",9:00p,REG,@,Pittsburgh,ACC,L,73,79,,5,4,L 2,Petersen Events Center
10,"Sat, Jan 23, 2021",4:00p,REG,@,Louisville,ACC,L,65,70,,5,5,L 3,KFC Yum! Center
11,"Tue, Jan 26, 2021",9:00p,REG,,Georgia Tech,ACC,W,75,68,,6,5,W 1,Cameron Indoor Stadium
12,"Sat, Jan 30, 2021",12:00p,REG,,Clemson,ACC,W,79,53,,7,5,W 2,Cameron Indoor Stadium
13,"Mon, Feb 1, 2021",7:00p,REG,@,Miami (FL),ACC,L,75,77,,7,6,L 1,BankUnited Center
14,"Sat, Feb 6, 2021",6:00p,REG,,North Carolina,ACC,L,87,91,,7,7,L 2,Cameron Indoor Stadium
15,"Tue, Feb 9, 2021",4:30p,REG,,Notre Dame,ACC,L,89,93,,7,8,L 3,Cameron Indoor Stadium
16,"Sat, Feb 13, 2021",4:00p,REG,@,North Carolina State,ACC,W,69,53,,8,8,W 1,PNC Arena
17,"Wed, Feb 17, 2021",8:30p,REG,@,Wake Forest,ACC,W,84,60,,9,8,W 2,
18,"Sat, Feb 20, 2021",8:00p,REG,,Virginia (7),ACC,W,66,65,,10,8,W 3,Cameron Indoor Stadium
19,"Mon, Feb 22, 2021",7:00p,REG,,Syracuse,ACC,W,85,71,,11,8,W 4,Cameron Indoor Stadium
20,"Sat, Feb 27, 2021",6:00p,REG,,Louisville,ACC,L,73,80,OT,11,9,L 1,Cameron Indoor Stadium
21,"Tue, Mar 2, 2021",8:00p,REG,@,Georgia Tech,ACC,L,77,81,OT,11,10,L 2,McCamish Pavilion
22,"Sat, Mar 6, 2021",6:00p,REG,@,North Carolina,ACC,L,73,91,,11,11,L 3,Dean Smith Center
23,"Tue, Mar 9, 2021",4:30p,CTOURN,N,Boston College,ACC,W,86,51,,12,11,W 1,Greensboro Coliseum
24,"Wed, Mar 10, 2021",6:30p,CTOURN,N,Louisville,ACC,W,70,56,,13,11,W 2,Greensboro Coliseum
