G,Date,Time,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak,Arena
1,"Wed, Dec 2, 2020",8:00p,REG,,North Florida,A-Sun,W,86,58,,1,0,W 1,Donald L. Tucker Center
2,"Wed, Dec 9, 2020",7:15p,REG,,Indiana,Big Ten,W,69,67,OT,2,0,W 2,Donald L. Tucker Center
3,"Sat, Dec 12, 2020",11:00a,REG,,Florida,SEC,W,83,71,,3,0,W 3,Donald L. Tucker Center
4,"Tue, Dec 15, 2020",8:30p,REG,,Georgia Tech,ACC,W,74,61,,4,0,W 4,Donald L. Tucker Center
5,"Sat, Dec 19, 2020",9:00p,REG,,Central Florida,AAC,L,74,86,,4,1,L 1,Donald L. Tucker Center
6,"Mon, Dec 21, 2020",7:00p,REG,,Gardner-Webb,Big South,W,72,59,,5,1,W 1,Donald L. Tucker Center
7,"Tue, Dec 29, 2020",7:00p,REG,@,Clemson,ACC,L,67,77,,5,2,L 1,Littlejohn Coliseum
8,"Wed, Jan 13, 2021",6:30p,REG,,North Carolina State,ACC,W,105,73,,6,2,W 1,Donald L. Tucker Center
9,"Sat, Jan 16, 2021",12:00p,REG,,North Carolina,ACC,W,82,75,,7,2,W 2,Donald L. Tucker Center
10,"Mon, Jan 18, 2021",7:00p,REG,@,Louisville,ACC,W,78,65,,8,2,W 3,KFC Yum! Center
11,"Sat, Jan 23, 2021",3:00p,REG,,Clemson (20),ACC,W,80,61,,9,2,W 4,Donald L. Tucker Center
12,"Wed, Jan 27, 2021",6:00p,REG,,Miami (FL),ACC,W,81,59,,10,2,W 5,Donald L. Tucker Center
13,"Sat, Jan 30, 2021",4:00p,REG,@,Georgia Tech,ACC,L,65,76,,10,3,L 1,McCamish Pavilion
14,"Sat, Feb 13, 2021",12:00p,REG,,Wake Forest,ACC,W,92,85,OT,11,3,W 1,Donald L. Tucker Center
15,"Mon, Feb 15, 2021",7:00p,REG,,Virginia (7),ACC,W,81,60,,12,3,W 2,Donald L. Tucker Center
16,"Sat, Feb 20, 2021",4:00p,REG,@,Pittsburgh,ACC,W,79,72,,13,3,W 3,Petersen Events Center
17,"Wed, Feb 24, 2021",8:30p,REG,@,Miami (FL),ACC,W,88,71,,14,3,W 4,BankUnited Center
18,"Sat, Feb 27, 2021",4:00p,REG,@,North Carolina,ACC,L,70,78,,14,4,L 1,Dean Smith Center
19,"Wed, Mar 3, 2021",9:00p,REG,,Boston College,ACC,W,93,64,,15,4,W 1,Donald L. Tucker Center
20,"Sat, Mar 6, 2021",12:00p,REG,@,Notre Dame,ACC,L,73,83,,15,5,L 1,Purcell Pavilion at the Joyce Center
21,"Fri, Mar 12, 2021",8:30p,CTOURN,N,North Carolina,ACC,W,69,66,,16,5,W 1,Greensboro Coliseum
22,"Sat, Mar 13, 2021",8:30p,CTOURN,N,Georgia Tech,ACC,L,75,80,,16,6,L 1,Greensboro Coliseum
23,"Sat, Mar 20, 2021",12:45p,NCAA,N,North Carolina-Greensboro,Southern,W,64,54,,17,6,W 1,Bankers Life Fieldhouse
24,"Mon, Mar 22, 2021",7:45p,NCAA,N,Colorado (22),Pac-12,W,71,53,,18,6,W 2,Indiana Farmers Coliseum
25,"Sun, Mar 28, 2021",5:00p,NCAA,N,Michigan (4),Big Ten,L,58,76,,18,7,L 1,Bankers Life Fieldhouse
