G,Date,Time,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak,Arena
1,"Wed, Nov 25, 2020",9:00p,REG,,Georgia State,Sun Belt,L,120,123,4OT,0,1,L 1,McCamish Pavilion
2,"Fri, Nov 27, 2020",8:00p,REG,,Mercer,Southern,L,73,83,,0,2,L 2,McCamish Pavilion
3,"Sun, Dec 6, 2020",5:00p,REG,,Kentucky (20),SEC,W,79,62,,1,2,W 1,Philips Arena
4,"Wed, Dec 9, 2020",7:15p,REG,@,Nebraska,Big Ten,W,75,64,,2,2,W 2,Pinnacle Bank Arena
5,"Tue, Dec 15, 2020",8:30p,REG,@,Florida State (15),ACC,L,61,74,,2,3,L 1,Donald L. Tucker Center
6,"Fri, Dec 18, 2020",7:00p,REG,,Florida A&M,MEAC,W,74,64,,3,3,W 1,McCamish Pavilion
7,"Sun, Dec 20, 2020",6:00p,REG,,Delaware State,MEAC,W,97,69,,4,3,W 2,McCamish Pavilion
8,"Wed, Dec 30, 2020",8:00p,REG,,North Carolina,ACC,W,72,67,,5,3,W 3,McCamish Pavilion
9,"Sun, Jan 3, 2021",6:00p,REG,,Wake Forest,ACC,W,70,54,,6,3,W 4,McCamish Pavilion
10,"Wed, Jan 20, 2021",7:00p,REG,,Clemson (20),ACC,W,83,65,,7,3,W 5,McCamish Pavilion
11,"Sat, Jan 23, 2021",8:00p,REG,@,Virginia (13),ACC,L,62,64,,7,4,L 1,John Paul Jones Arena
12,"Tue, Jan 26, 2021",9:00p,REG,@,Duke,ACC,L,68,75,,7,5,L 2,Cameron Indoor Stadium
13,"Sat, Jan 30, 2021",4:00p,REG,,Florida State (16),ACC,W,76,65,,8,5,W 1,McCamish Pavilion
14,"Mon, Feb 1, 2021",2:00p,REG,@,Louisville,ACC,L,58,74,,8,6,L 1,KFC Yum! Center
15,"Sat, Feb 6, 2021",8:00p,REG,,Notre Dame,ACC,W,82,80,,9,6,W 1,McCamish Pavilion
16,"Wed, Feb 10, 2021",7:00p,REG,,Virginia (9),ACC,L,49,57,,9,7,L 1,McCamish Pavilion
17,"Fri, Feb 12, 2021",8:00p,REG,@,Clemson,ACC,L,72,74,,9,8,L 2,Littlejohn Coliseum
18,"Sun, Feb 14, 2021",4:00p,REG,,Pittsburgh,ACC,W,71,65,,10,8,W 1,McCamish Pavilion
19,"Sat, Feb 20, 2021",12:00p,REG,@,Miami (FL),ACC,W,87,60,,11,8,W 2,BankUnited Center
20,"Tue, Feb 23, 2021",7:00p,REG,@,Virginia Tech (16),ACC,W,69,53,,12,8,W 3,Cassell Coliseum
21,"Sat, Feb 27, 2021",12:00p,REG,,Syracuse,ACC,W,84,77,,13,8,W 4,McCamish Pavilion
22,"Tue, Mar 2, 2021",8:00p,REG,,Duke,ACC,W,81,77,OT,14,8,W 5,McCamish Pavilion
23,"Fri, Mar 5, 2021",8:00p,REG,@,Wake Forest,ACC,W,75,63,,15,8,W 6,
24,"Thu, Mar 11, 2021",2:30p,CTOURN,N,Miami (FL),ACC,W,70,66,,16,8,W 7,Greensboro Coliseum
25,"Sat, Mar 13, 2021",8:30p,CTOURN,N,Florida State (15),ACC,W,80,75,,17,8,W 8,Greensboro Coliseum
26,"Fri, Mar 19, 2021",4:00p,NCAA,N,Loyola (IL) (17),MVC,L,60,71,,17,9,L 1,Hinkle Fieldhouse
