G,Date,Time,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak,Arena
1,"Wed, Nov 25, 2020",4:00p,REG,,Evansville,MVC,W,79,44,,1,0,W 1,KFC Yum! Center
2,"Fri, Nov 27, 2020",4:00p,REG,,Seton Hall,Big East,W,71,70,,2,0,W 2,KFC Yum! Center
3,"Sun, Nov 29, 2020",6:00p,REG,,Prairie View,SWAC,W,86,64,,3,0,W 3,KFC Yum! Center
4,"Tue, Dec 1, 2020",6:00p,REG,,Western Kentucky,CUSA,W,75,54,,4,0,W 4,KFC Yum! Center
5,"Sat, Dec 19, 2020",12:00p,REG,@,Wisconsin (12),Big Ten,L,48,85,,4,1,L 1,Kohl Center
6,"Tue, Dec 22, 2020",7:00p,REG,@,Pittsburgh,ACC,W,64,54,,5,1,W 1,Petersen Events Center
7,"Sat, Dec 26, 2020",1:00p,REG,,Kentucky,SEC,W,62,59,,6,1,W 2,KFC Yum! Center
8,"Sat, Jan 2, 2021",12:00p,REG,@,Boston College,ACC,W,76,64,,7,1,W 3,Silvio O. Conte Forum
9,"Wed, Jan 6, 2021",6:30p,REG,,Virginia Tech (19),ACC,W,73,71,,8,1,W 4,KFC Yum! Center
10,"Wed, Jan 13, 2021",8:30p,REG,@,Wake Forest,ACC,W,77,65,,9,1,W 5,
11,"Sat, Jan 16, 2021",8:00p,REG,@,Miami (FL),ACC,L,72,78,,9,2,L 1,BankUnited Center
12,"Mon, Jan 18, 2021",7:00p,REG,,Florida State,ACC,L,65,78,,9,3,L 2,KFC Yum! Center
13,"Sat, Jan 23, 2021",4:00p,REG,,Duke,ACC,W,70,65,,10,3,W 1,KFC Yum! Center
14,"Wed, Jan 27, 2021",9:00p,REG,@,Clemson,ACC,L,50,54,,10,4,L 1,Littlejohn Coliseum
15,"Mon, Feb 1, 2021",2:00p,REG,,Georgia Tech,ACC,W,74,58,,11,4,W 1,KFC Yum! Center
16,"Sat, Feb 20, 2021",6:00p,REG,@,North Carolina,ACC,L,54,99,,11,5,L 1,Dean Smith Center
17,"Tue, Feb 23, 2021",7:00p,REG,,Notre Dame,ACC,W,69,57,,12,5,W 1,KFC Yum! Center
18,"Sat, Feb 27, 2021",6:00p,REG,@,Duke,ACC,W,80,73,OT,13,5,W 2,Cameron Indoor Stadium
19,"Sat, Mar 6, 2021",4:00p,REG,,Virginia (21),ACC,L,58,68,,13,6,L 1,KFC Yum! Center
20,"Wed, Mar 10, 2021",6:30p,CTOURN,N,Duke,ACC,L,56,70,,13,7,L 2,Greensboro Coliseum
