G,Date,Time,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak,Arena
1,"Sun, Nov 29, 2020",6:00p,REG,,North Florida,A-Sun,W,77,59,,1,0,W 1,BankUnited Center
2,"Fri, Dec 4, 2020",8:00p,REG,,Stetson,A-Sun,W,82,60,,2,0,W 2,BankUnited Center
3,"Tue, Dec 8, 2020",5:00p,REG,,Purdue,Big Ten,W,58,54,,3,0,W 3,BankUnited Center
4,"Sat, Dec 12, 2020",12:00p,REG,,Florida Gulf Coast,A-Sun,L,62,66,,3,1,L 1,BankUnited Center
5,"Wed, Dec 16, 2020",6:00p,REG,,Pittsburgh,ACC,L,55,70,,3,2,L 2,BankUnited Center
6,"Sat, Dec 19, 2020",3:30p,REG,,Jacksonville,A-Sun,W,73,64,,4,2,W 1,BankUnited Center
7,"Tue, Dec 29, 2020",6:00p,REG,@,Virginia Tech (24),ACC,L,78,80,,4,3,L 1,Cassell Coliseum
8,"Sat, Jan 2, 2021",2:00p,REG,,Clemson,ACC,L,65,66,,4,4,L 2,BankUnited Center
9,"Tue, Jan 5, 2021",8:00p,REG,,North Carolina,ACC,L,65,67,,4,5,L 3,BankUnited Center
10,"Sat, Jan 9, 2021",12:00p,REG,@,North Carolina State,ACC,W,64,59,,5,5,W 1,PNC Arena
11,"Tue, Jan 12, 2021",7:00p,REG,@,Boston College,ACC,L,62,84,,5,6,L 1,Silvio O. Conte Forum
12,"Sat, Jan 16, 2021",8:00p,REG,,Louisville (16),ACC,W,78,72,,6,6,W 1,BankUnited Center
13,"Tue, Jan 19, 2021",7:00p,REG,@,Syracuse,ACC,L,57,83,,6,7,L 1,Carrier Dome
14,"Sun, Jan 24, 2021",6:00p,REG,,Notre Dame,ACC,L,59,73,,6,8,L 2,BankUnited Center
15,"Wed, Jan 27, 2021",6:00p,REG,@,Florida State (16),ACC,L,59,81,,6,9,L 3,Donald L. Tucker Center
16,"Sat, Jan 30, 2021",2:00p,REG,@,Wake Forest,ACC,L,54,66,,6,10,L 4,
17,"Mon, Feb 1, 2021",7:00p,REG,,Duke,ACC,W,77,75,,7,10,W 1,BankUnited Center
18,"Sat, Feb 6, 2021",12:00p,REG,,Virginia Tech (16),ACC,L,76,80,OT,7,11,L 1,BankUnited Center
19,"Sun, Feb 14, 2021",6:00p,REG,@,Notre Dame,ACC,L,61,71,,7,12,L 2,Purcell Pavilion at the Joyce Center
20,"Sat, Feb 20, 2021",12:00p,REG,,Georgia Tech,ACC,L,60,87,,7,13,L 3,BankUnited Center
21,"Wed, Feb 24, 2021",8:30p,REG,,Florida State (11),ACC,L,71,88,,7,14,L 4,BankUnited Center
22,"Sat, Feb 27, 2021",2:00p,REG,@,Clemson,ACC,L,58,66,,7,15,L 5,Littlejohn Coliseum
23,"Mon, Mar 1, 2021",6:00p,REG,@,Virginia (21),ACC,L,51,62,,7,16,L 6,John Paul Jones Arena
24,"Fri, Mar 5, 2021",6:00p,REG,,Boston College,ACC,W,80,76,,8,16,W 1,BankUnited Center
25,"Tue, Mar 9, 2021",2:00p,CTOURN,N,Pittsburgh,ACC,W,79,73,,9,16,W 2,Greensboro Coliseum
26,"Wed, Mar 10, 2021",2:30p,CTOURN,N,Clemson,ACC,W,67,64,,10,16,W 3,Greensboro Coliseum
27,"Thu, Mar 11, 2021",2:30p,CTOURN,N,Georgia Tech,ACC,L,66,70,,10,17,L 1,Greensboro Coliseum
