G,Date,Time,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak,Arena
1,"Wed, Nov 25, 2020",7:00p,REG,,Saint Francis (PA),NEC,L,70,80,,0,1,L 1,Petersen Events Center
2,"Sat, Nov 28, 2020",1:00p,REG,,Drexel,CAA,W,83,74,,1,1,W 1,Petersen Events Center
3,"Sat, Dec 5, 2020",7:00p,REG,,Northern Illinois,MAC,W,89,59,,2,1,W 2,Petersen Events Center
4,"Wed, Dec 9, 2020",9:15p,REG,@,Northwestern,Big Ten,W,71,70,,3,1,W 3,Welsh-Ryan Arena
5,"Sat, Dec 12, 2020",4:00p,REG,,Gardner-Webb,Big South,W,67,50,,4,1,W 4,Petersen Events Center
6,"Wed, Dec 16, 2020",6:00p,REG,@,Miami (FL),ACC,W,70,55,,5,1,W 5,BankUnited Center
7,"Tue, Dec 22, 2020",7:00p,REG,,Louisville,ACC,L,54,64,,5,2,L 1,Petersen Events Center
8,"Wed, Jan 6, 2021",4:30p,REG,@,Syracuse,ACC,W,63,60,,6,2,W 1,Carrier Dome
9,"Sat, Jan 16, 2021",12:00p,REG,,Syracuse,ACC,W,96,76,,7,2,W 2,Petersen Events Center
10,"Tue, Jan 19, 2021",9:00p,REG,,Duke,ACC,W,79,73,,8,2,W 3,Petersen Events Center
11,"Sat, Jan 23, 2021",6:00p,REG,@,Wake Forest,ACC,L,75,76,,8,3,L 1,
12,"Tue, Jan 26, 2021",7:00p,REG,,North Carolina,ACC,L,65,75,,8,4,L 2,Petersen Events Center
13,"Sat, Jan 30, 2021",8:00p,REG,,Notre Dame,ACC,L,58,84,,8,5,L 3,Petersen Events Center
14,"Wed, Feb 3, 2021",7:00p,REG,,Virginia Tech (16),ACC,W,83,72,,9,5,W 1,Petersen Events Center
15,"Sat, Feb 6, 2021",4:00p,REG,@,Virginia (14),ACC,L,66,73,,9,6,L 1,John Paul Jones Arena
16,"Sun, Feb 14, 2021",4:00p,REG,@,Georgia Tech,ACC,L,65,71,,9,7,L 2,McCamish Pavilion
17,"Wed, Feb 17, 2021",4:30p,REG,,North Carolina State,ACC,L,73,74,,9,8,L 3,Petersen Events Center
18,"Sat, Feb 20, 2021",4:00p,REG,,Florida State (16),ACC,L,72,79,,9,9,L 4,Petersen Events Center
19,"Sun, Feb 28, 2021",4:00p,REG,@,North Carolina State,ACC,L,62,65,,9,10,L 5,PNC Arena
20,"Tue, Mar 2, 2021",6:00p,REG,,Wake Forest,ACC,W,70,57,,10,10,W 1,Petersen Events Center
21,"Sat, Mar 6, 2021",12:00p,REG,@,Clemson,ACC,L,62,77,,10,11,L 1,Littlejohn Coliseum
22,"Tue, Mar 9, 2021",2:00p,CTOURN,N,Miami (FL),ACC,L,73,79,,10,12,L 2,Greensboro Coliseum
