G,Date,Time,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak,Arena
1,"Wed, Nov 25, 2020",6:00p,REG,,College of Charleston,CAA,W,79,60,,1,0,W 1,Dean Smith Center
2,"Mon, Nov 30, 2020",7:00p,REG,N,Nevada-Las Vegas,MWC,W,78,51,,2,0,W 2,U.S. Cellular Center
3,"Tue, Dec 1, 2020",4:00p,REG,N,Stanford,Pac-12,W,67,63,,3,0,W 3,U.S. Cellular Center
4,"Wed, Dec 2, 2020",4:00p,REG,N,Texas (17),Big 12,L,67,69,,3,1,L 1,U.S. Cellular Center
5,"Tue, Dec 8, 2020",7:30p,REG,@,Iowa (3),Big Ten,L,80,93,,3,2,L 2,Carver-Hawkeye Arena
6,"Sat, Dec 12, 2020",2:00p,REG,,North Carolina Central,MEAC,W,73,67,,4,2,W 1,Dean Smith Center
7,"Sat, Dec 19, 2020",2:00p,REG,N,Kentucky,SEC,W,75,63,,5,2,W 2,Quicken Loans Arena
8,"Tue, Dec 22, 2020",7:00p,REG,@,North Carolina State,ACC,L,76,79,,5,3,L 1,PNC Arena
9,"Wed, Dec 30, 2020",8:00p,REG,@,Georgia Tech,ACC,L,67,72,,5,4,L 2,McCamish Pavilion
10,"Sat, Jan 2, 2021",4:00p,REG,,Notre Dame,ACC,W,66,65,,6,4,W 1,Dean Smith Center
11,"Tue, Jan 5, 2021",8:00p,REG,@,Miami (FL),ACC,W,67,65,,7,4,W 2,BankUnited Center
12,"Tue, Jan 12, 2021",9:00p,REG,,Syracuse,ACC,W,81,75,,8,4,W 3,Dean Smith Center
13,"Sat, Jan 16, 2021",12:00p,REG,@,Florida State,ACC,L,75,82,,8,5,L 1,Donald L. Tucker Center
14,"Wed, Jan 20, 2021",7:00p,REG,,Wake Forest,ACC,W,80,73,,9,5,W 1,Dean Smith Center
15,"Sat, Jan 23, 2021",2:00p,REG,,North Carolina State,ACC,W,86,76,,10,5,W 2,Dean Smith Center
16,"Tue, Jan 26, 2021",7:00p,REG,@,Pittsburgh,ACC,W,75,65,,11,5,W 3,Petersen Events Center
17,"Tue, Feb 2, 2021",7:00p,REG,@,Clemson,ACC,L,50,63,,11,6,L 1,Littlejohn Coliseum
18,"Sat, Feb 6, 2021",6:00p,REG,@,Duke,ACC,W,91,87,,12,6,W 1,Cameron Indoor Stadium
19,"Sat, Feb 13, 2021",6:00p,REG,@,Virginia (9),ACC,L,48,60,,12,7,L 1,John Paul Jones Arena
20,"Wed, Feb 17, 2021",7:00p,REG,,Northeastern,CAA,W,82,62,,13,7,W 1,Dean Smith Center
21,"Sat, Feb 20, 2021",6:00p,REG,,Louisville,ACC,W,99,54,,14,7,W 2,Dean Smith Center
22,"Wed, Feb 24, 2021",7:00p,REG,,Marquette,Big East,L,70,83,,14,8,L 1,Dean Smith Center
23,"Sat, Feb 27, 2021",4:00p,REG,,Florida State (11),ACC,W,78,70,,15,8,W 1,Dean Smith Center
24,"Mon, Mar 1, 2021",7:00p,REG,@,Syracuse,ACC,L,70,72,,15,9,L 1,Carrier Dome
25,"Sat, Mar 6, 2021",6:00p,REG,,Duke,ACC,W,91,73,,16,9,W 1,Dean Smith Center
26,"Wed, Mar 10, 2021",9:00p,CTOURN,N,Notre Dame,ACC,W,101,59,,17,9,W 2,Greensboro Coliseum
27,"Thu, Mar 11, 2021",8:30p,CTOURN,N,Virginia Tech (22),ACC,W,81,73,,18,9,W 3,Greensboro Coliseum
28,"Fri, Mar 12, 2021",8:30p,CTOURN,N,Florida State (15),ACC,L,66,69,,18,10,L 1,Greensboro Coliseum
29,"Fri, Mar 19, 2021",7:10p,NCAA,N,Wisconsin,Big Ten,L,62,85,,18,11,L 2,Mackey Arena
