G,Date,Time,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak,Arena
1,"Wed, Nov 25, 2020",12:00p,REG,,Radford,Big South,W,77,62,,1,0,W 1,Cassell Coliseum
2,"Sat, Nov 28, 2020",8:00p,REG,N,Villanova (3),Big East,W,81,73,OT,2,0,W 2,Mohegan Sun Arena
3,"Sun, Nov 29, 2020",8:00p,REG,N,South Florida,AAC,W,76,58,,3,0,W 3,Mohegan Sun Arena
4,"Thu, Dec 3, 2020",8:00p,REG,,Virginia Military Institute,Southern,W,64,57,,4,0,W 4,Cassell Coliseum
5,"Tue, Dec 8, 2020",9:00p,REG,,Penn State,Big Ten,L,55,75,,4,1,L 1,Cassell Coliseum
6,"Tue, Dec 15, 2020",6:30p,REG,,Clemson (24),ACC,W,66,60,,5,1,W 1,Cassell Coliseum
7,"Sat, Dec 19, 2020",5:30p,REG,,Coppin State,MEAC,W,97,57,,6,1,W 2,Cassell Coliseum
8,"Mon, Dec 21, 2020",8:00p,REG,,Longwood,Big South,W,84,58,,7,1,W 3,Cassell Coliseum
9,"Tue, Dec 29, 2020",6:00p,REG,,Miami (FL),ACC,W,80,78,,8,1,W 4,Cassell Coliseum
10,"Wed, Jan 6, 2021",6:30p,REG,@,Louisville,ACC,L,71,73,,8,2,L 1,KFC Yum! Center
11,"Sun, Jan 10, 2021",6:00p,REG,,Notre Dame,ACC,W,77,63,,9,2,W 1,Cassell Coliseum
12,"Tue, Jan 12, 2021",7:00p,REG,,Duke (19),ACC,W,74,67,,10,2,W 2,Cassell Coliseum
13,"Sun, Jan 17, 2021",6:00p,REG,@,Wake Forest,ACC,W,64,60,,11,2,W 3,
14,"Sat, Jan 23, 2021",12:00p,REG,@,Syracuse,ACC,L,60,78,,11,3,L 1,Carrier Dome
15,"Wed, Jan 27, 2021",7:00p,REG,@,Notre Dame,ACC,W,62,51,,12,3,W 1,Purcell Pavilion at the Joyce Center
16,"Sat, Jan 30, 2021",6:00p,REG,,Virginia (8),ACC,W,65,51,,13,3,W 2,Cassell Coliseum
17,"Wed, Feb 3, 2021",7:00p,REG,@,Pittsburgh,ACC,L,72,83,,13,4,L 1,Petersen Events Center
18,"Sat, Feb 6, 2021",12:00p,REG,@,Miami (FL),ACC,W,80,76,OT,14,4,W 1,BankUnited Center
19,"Tue, Feb 23, 2021",7:00p,REG,,Georgia Tech,ACC,L,53,69,,14,5,L 1,Cassell Coliseum
20,"Sat, Feb 27, 2021",4:00p,REG,,Wake Forest,ACC,W,84,46,,15,5,W 1,Cassell Coliseum
21,"Thu, Mar 11, 2021",8:30p,CTOURN,N,North Carolina,ACC,L,73,81,,15,6,L 1,Greensboro Coliseum
22,"Fri, Mar 19, 2021",12:15p,NCAA,N,Florida,SEC,L,70,75,OT,15,7,L 2,Hinkle Fieldhouse
