G,Date,Time,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak,Arena
1,"Tue, Nov 9, 2021",6:00p,REG,,Eastern Michigan,MAC,W,68,62,,1,0,W 1,Assembly Hall
2,"Fri, Nov 12, 2021",7:00p,REG,,Northern Illinois,MAC,W,85,49,,2,0,W 2,Assembly Hall
3,"Wed, Nov 17, 2021",9:00p,REG,,St. John's (NY),Big East,W,76,74,,3,0,W 3,Assembly Hall
4,"Sun, Nov 21, 2021",7:30p,REG,,Louisiana,Sun Belt,W,76,44,,4,0,W 4,Assembly Hall
5,"Tue, Nov 23, 2021",7:00p,REG,,Jackson State,SWAC,W,70,35,,5,0,W 5,Assembly Hall
6,"Sat, Nov 27, 2021",7:00p,REG,,Marshall,CUSA,W,90,79,,6,0,W 6,Assembly Hall
7,"Tue, Nov 30, 2021",7:00p,REG,@,Syracuse,ACC,L,110,112,2OT,6,1,L 1,Carrier Dome
8,"Sat, Dec 4, 2021",12:00p,REG,,Nebraska,Big Ten,W,68,55,,7,1,W 1,Assembly Hall
9,"Wed, Dec 8, 2021",7:00p,REG,@,Wisconsin (22),Big Ten,L,59,64,,7,2,L 1,Kohl Center
10,"Sun, Dec 12, 2021",12:00p,REG,,Merrimack,NEC,W,81,49,,8,2,W 1,Assembly Hall
11,"Sat, Dec 18, 2021",2:30p,REG,N,Notre Dame,ACC,W,64,56,,9,2,W 2,Bankers Life Fieldhouse
12,"Wed, Dec 22, 2021",7:00p,REG,,Northern Kentucky,Horizon,W,79,61,,10,2,W 3,Assembly Hall
13,"Sun, Jan 2, 2022",4:00p,REG,@,Penn State,Big Ten,L,58,61,,10,3,L 1,Bryce Jordan Center
14,"Thu, Jan 6, 2022",7:00p,REG,,Ohio State (13),Big Ten,W,67,51,,11,3,W 1,Assembly Hall
15,"Sun, Jan 9, 2022",12:00p,REG,,Minnesota,Big Ten,W,73,60,,12,3,W 2,Assembly Hall
16,"Thu, Jan 13, 2022",9:00p,REG,@,Iowa,Big Ten,L,74,83,,12,4,L 1,Carver-Hawkeye Arena
17,"Mon, Jan 17, 2022",6:00p,REG,@,Nebraska,Big Ten,W,78,71,,13,4,W 1,Pinnacle Bank Arena
18,"Thu, Jan 20, 2022",7:00p,REG,,Purdue (4),Big Ten,W,68,65,,14,4,W 2,Assembly Hall
19,"Sun, Jan 23, 2022",3:30p,REG,,Michigan,Big Ten,L,62,80,,14,5,L 1,Assembly Hall
20,"Wed, Jan 26, 2022",8:30p,REG,,Penn State,Big Ten,W,74,57,,15,5,W 1,Assembly Hall
21,"Sat, Jan 29, 2022",2:30p,REG,@,Maryland,Big Ten,,,,,,,,
22,"Sat, Feb 5, 2022",12:00p,REG,,Illinois (24),Big Ten,,,,,,,,
23,"Tue, Feb 8, 2022",9:00p,REG,@,Northwestern,Big Ten,,,,,,,,
24,"Sat, Feb 12, 2022",3:30p,REG,@,Michigan State (10),Big Ten,,,,,,,,
25,"Tue, Feb 15, 2022",9:00p,REG,,Wisconsin (11),Big Ten,,,,,,,,
26,"Sat, Feb 19, 2022",12:00p,REG,@,Ohio State (16),Big Ten,,,,,,,,
27,"Thu, Feb 24, 2022",7:00p,REG,,Maryland,Big Ten,,,,,,,,
28,"Sun, Feb 27, 2022",6:00p,REG,@,Minnesota,Big Ten,,,,,,,,
29,"Wed, Mar 2, 2022",7:00p,REG,,Rutgers,Big Ten,,,,,,,,
30,"Sat, Mar 5, 2022",,REG,@,Purdue (6),Big Ten,,,,,,,,
