G,Date,Time,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak,Arena
1,"Wed, Nov 25, 2020",7:00p,REG,,Green Bay,Horizon,W,99,69,,1,0,W 1,Williams Arena
2,"Sat, Nov 28, 2020",6:00p,REG,,Loyola Marymount,WCC,W,88,73,,2,0,W 2,Williams Arena
3,"Mon, Nov 30, 2020",8:00p,REG,,Loyola Marymount,WCC,W,67,64,,3,0,W 3,Williams Arena
4,"Fri, Dec 4, 2020",9:00p,REG,,North Dakota,Summit,W,76,67,,4,0,W 4,Williams Arena
5,"Tue, Dec 8, 2020",7:00p,REG,,Boston College,ACC,W,85,80,OT,5,0,W 5,Williams Arena
6,"Thu, Dec 10, 2020",8:00p,REG,,Kansas City,Summit,W,90,61,,6,0,W 6,Williams Arena
7,"Tue, Dec 15, 2020",7:00p,REG,@,Illinois (13),Big Ten,L,65,92,,6,1,L 1,State Farm Center
8,"Sun, Dec 20, 2020",8:30p,REG,,Saint Louis,A-10,W,90,82,,7,1,W 1,Williams Arena
9,"Fri, Dec 25, 2020",8:00p,REG,,Iowa (4),Big Ten,W,102,95,OT,8,1,W 2,Williams Arena
10,"Mon, Dec 28, 2020",8:00p,REG,,Michigan State (17),Big Ten,W,81,56,,9,1,W 3,Williams Arena
11,"Thu, Dec 31, 2020",4:30p,REG,@,Wisconsin (6),Big Ten,L,59,71,,9,2,L 1,Kohl Center
12,"Sun, Jan 3, 2021",5:30p,REG,,Ohio State (25),Big Ten,W,77,60,,10,2,W 1,Williams Arena
13,"Wed, Jan 6, 2021",8:30p,REG,@,Michigan (10),Big Ten,L,57,82,,10,3,L 1,Crisler Arena
14,"Sun, Jan 10, 2021",2:30p,REG,@,Iowa (5),Big Ten,L,71,86,,10,4,L 2,Carver-Hawkeye Arena
15,"Sat, Jan 16, 2021",2:00p,REG,,Michigan (7),Big Ten,W,75,57,,11,4,W 1,Williams Arena
16,"Sat, Jan 23, 2021",2:00p,REG,,Maryland,Big Ten,L,49,63,,11,5,L 1,Williams Arena
17,"Sat, Jan 30, 2021",7:30p,REG,@,Purdue,Big Ten,L,62,81,,11,6,L 2,Mackey Arena
18,"Thu, Feb 4, 2021",9:00p,REG,@,Rutgers,Big Ten,L,72,76,,11,7,L 3,Rutgers Athletic Center
19,"Mon, Feb 8, 2021",8:00p,REG,,Nebraska,Big Ten,W,79,61,,12,7,W 1,Williams Arena
20,"Thu, Feb 11, 2021",5:00p,REG,,Purdue (24),Big Ten,W,71,68,,13,7,W 2,Williams Arena
21,"Sun, Feb 14, 2021",7:00p,REG,@,Maryland,Big Ten,L,59,72,,13,8,L 1,Xfinity Center
22,"Wed, Feb 17, 2021",9:00p,REG,@,Indiana,Big Ten,L,72,82,,13,9,L 2,Assembly Hall
23,"Sat, Feb 20, 2021",3:30p,REG,,Illinois (5),Big Ten,L,63,94,,13,10,L 3,Williams Arena
24,"Thu, Feb 25, 2021",9:00p,REG,,Northwestern,Big Ten,L,59,67,,13,11,L 4,Williams Arena
25,"Sat, Feb 27, 2021",7:00p,REG,@,Nebraska,Big Ten,L,74,78,,13,12,L 5,Pinnacle Bank Arena
26,"Wed, Mar 3, 2021",7:00p,REG,@,Penn State,Big Ten,L,65,84,,13,13,L 6,Bryce Jordan Center
27,"Sat, Mar 6, 2021",12:00p,REG,,Rutgers,Big Ten,L,70,77,OT,13,14,L 7,Williams Arena
28,"Wed, Mar 10, 2021",6:30p,CTOURN,N,Northwestern,Big Ten,W,51,46,,14,14,W 1,Lucas Oil Stadium
29,"Thu, Mar 11, 2021",2:00p,CTOURN,N,Ohio State (9),Big Ten,L,75,79,,14,15,L 1,Lucas Oil Stadium
