G,Date,Time,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak,Arena
1,"Wed, Nov 25, 2020",12:00p,REG,,McNeese State,Southland,W,102,55,,1,0,W 1,Pinnacle Bank Arena
2,"Thu, Nov 26, 2020",2:00p,REG,,Nevada,MWC,L,66,69,,1,1,L 1,Pinnacle Bank Arena
3,"Sat, Nov 28, 2020",12:00p,REG,,North Dakota State,Summit,W,79,57,,2,1,W 1,Pinnacle Bank Arena
4,"Tue, Dec 1, 2020",9:00p,REG,,South Dakota,Summit,W,76,69,,3,1,W 2,Pinnacle Bank Arena
5,"Wed, Dec 9, 2020",7:15p,REG,,Georgia Tech,ACC,L,64,75,,3,2,L 1,Pinnacle Bank Arena
6,"Fri, Dec 11, 2020",7:00p,REG,@,Creighton (8),Big East,L,74,98,,3,3,L 2,CenturyLink Center
7,"Thu, Dec 17, 2020",7:00p,REG,,Doane College,,W,110,64,,4,3,W 1,Pinnacle Bank Arena
8,"Tue, Dec 22, 2020",7:00p,REG,@,Wisconsin (9),Big Ten,L,53,67,,4,4,L 1,Kohl Center
9,"Fri, Dec 25, 2020",6:00p,REG,,Michigan (19),Big Ten,L,69,80,,4,5,L 2,Pinnacle Bank Arena
10,"Wed, Dec 30, 2020",6:30p,REG,@,Ohio State (25),Big Ten,L,54,90,,4,6,L 3,Value City Arena
11,"Sat, Jan 2, 2021",8:00p,REG,,Michigan State (17),Big Ten,L,77,84,,4,7,L 4,Pinnacle Bank Arena
12,"Sun, Jan 10, 2021",6:00p,REG,,Indiana,Big Ten,L,76,84,,4,8,L 5,Pinnacle Bank Arena
13,"Sat, Feb 6, 2021",6:30p,REG,@,Michigan State,Big Ten,L,56,66,,4,9,L 6,Breslin Events Center
14,"Mon, Feb 8, 2021",8:00p,REG,@,Minnesota,Big Ten,L,61,79,,4,10,L 7,Williams Arena
15,"Wed, Feb 10, 2021",9:30p,REG,,Wisconsin (21),Big Ten,L,48,61,,4,11,L 8,Pinnacle Bank Arena
16,"Fri, Feb 12, 2021",9:00p,REG,,Illinois (6),Big Ten,L,72,77,OT,4,12,L 9,Pinnacle Bank Arena
17,"Sun, Feb 14, 2021",3:00p,REG,@,Penn State,Big Ten,W,62,61,,5,12,W 1,Bryce Jordan Center
18,"Tue, Feb 16, 2021",7:00p,REG,@,Maryland,Big Ten,L,50,64,,5,13,L 1,Xfinity Center
19,"Wed, Feb 17, 2021",7:00p,REG,@,Maryland,Big Ten,L,71,79,,5,14,L 2,Xfinity Center
20,"Sat, Feb 20, 2021",5:30p,REG,,Purdue,Big Ten,L,58,75,,5,15,L 3,Pinnacle Bank Arena
21,"Tue, Feb 23, 2021",8:00p,REG,,Penn State,Big Ten,L,83,86,,5,16,L 4,Pinnacle Bank Arena
22,"Thu, Feb 25, 2021",7:00p,REG,@,Illinois (5),Big Ten,L,70,86,,5,17,L 5,State Farm Center
23,"Sat, Feb 27, 2021",7:00p,REG,,Minnesota,Big Ten,W,78,74,,6,17,W 1,Pinnacle Bank Arena
24,"Mon, Mar 1, 2021",7:00p,REG,,Rutgers,Big Ten,W,72,51,,7,17,W 2,Pinnacle Bank Arena
25,"Thu, Mar 4, 2021",9:00p,REG,@,Iowa (5),Big Ten,L,64,102,,7,18,L 1,Carver-Hawkeye Arena
26,"Sun, Mar 7, 2021",1:30p,REG,@,Northwestern,Big Ten,L,78,79,,7,19,L 2,Welsh-Ryan Arena
27,"Wed, Mar 10, 2021",9:00p,CTOURN,N,Penn State,Big Ten,L,66,72,,7,20,L 3,Lucas Oil Stadium
