G,Date,Time,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak,Arena
1,"Wed, Dec 2, 2020",9:00p,REG,,Arkansas-Pine Bluff,SWAC,W,92,49,,1,0,W 1,Welsh-Ryan Arena
2,"Sat, Dec 5, 2020",5:00p,REG,,Chicago State,WAC,W,111,66,,2,0,W 2,Welsh-Ryan Arena
3,"Wed, Dec 9, 2020",9:15p,REG,,Pittsburgh,ACC,L,70,71,,2,1,L 1,Welsh-Ryan Arena
4,"Tue, Dec 15, 2020",4:00p,REG,,Quincy,,W,100,48,,3,1,W 1,Welsh-Ryan Arena
5,"Sun, Dec 20, 2020",7:00p,REG,,Michigan State (4),Big Ten,W,79,65,,4,1,W 2,Welsh-Ryan Arena
6,"Wed, Dec 23, 2020",8:30p,REG,@,Indiana,Big Ten,W,74,67,,5,1,W 3,Assembly Hall
7,"Sat, Dec 26, 2020",2:00p,REG,,Ohio State (23),Big Ten,W,71,70,,6,1,W 4,Welsh-Ryan Arena
8,"Tue, Dec 29, 2020",9:00p,REG,@,Iowa (10),Big Ten,L,72,87,,6,2,L 1,Carver-Hawkeye Arena
9,"Sun, Jan 3, 2021",7:30p,REG,@,Michigan (16),Big Ten,L,66,85,,6,3,L 2,Crisler Arena
10,"Thu, Jan 7, 2021",9:00p,REG,,Illinois (12),Big Ten,L,56,81,,6,4,L 3,Welsh-Ryan Arena
11,"Wed, Jan 13, 2021",7:00p,REG,@,Ohio State (21),Big Ten,L,71,81,,6,5,L 4,Value City Arena
12,"Sun, Jan 17, 2021",12:00p,REG,,Iowa (5),Big Ten,L,73,96,,6,6,L 5,Welsh-Ryan Arena
13,"Wed, Jan 20, 2021",8:00p,REG,@,Wisconsin (10),Big Ten,L,52,68,,6,7,L 6,Kohl Center
14,"Sat, Jan 23, 2021",7:00p,REG,@,Penn State,Big Ten,L,78,81,,6,8,L 7,Bryce Jordan Center
15,"Sun, Jan 31, 2021",7:30p,REG,,Rutgers,Big Ten,L,56,64,,6,9,L 8,Welsh-Ryan Arena
16,"Sat, Feb 6, 2021",4:30p,REG,@,Purdue (24),Big Ten,L,70,75,,6,10,L 9,Mackey Arena
17,"Wed, Feb 10, 2021",5:30p,REG,,Indiana,Big Ten,L,76,79,2OT,6,11,L 10,Welsh-Ryan Arena
18,"Sat, Feb 13, 2021",5:00p,REG,@,Rutgers (25),Big Ten,L,50,64,,6,12,L 11,Rutgers Athletic Center
19,"Tue, Feb 16, 2021",9:00p,REG,@,Illinois (5),Big Ten,L,66,73,,6,13,L 12,State Farm Center
20,"Sun, Feb 21, 2021",7:00p,REG,,Wisconsin (21),Big Ten,L,51,68,,6,14,L 13,Welsh-Ryan Arena
21,"Thu, Feb 25, 2021",9:00p,REG,@,Minnesota,Big Ten,W,67,59,,7,14,W 1,Williams Arena
22,"Wed, Mar 3, 2021",9:00p,REG,,Maryland,Big Ten,W,60,55,,8,14,W 2,Welsh-Ryan Arena
23,"Sun, Mar 7, 2021",1:30p,REG,,Nebraska,Big Ten,W,79,78,,9,14,W 3,Welsh-Ryan Arena
24,"Wed, Mar 10, 2021",6:30p,CTOURN,N,Minnesota,Big Ten,L,46,51,,9,15,L 1,Lucas Oil Stadium
