G,Date,Time,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak,Arena
1,"Wed, Nov 25, 2020",2:00p,REG,,Illinois State,MVC,W,94,67,,1,0,W 1,Value City Arena
2,"Sun, Nov 29, 2020",12:00p,REG,,Massachusetts-Lowell,AEC,W,74,64,,2,0,W 2,Value City Arena
3,"Wed, Dec 2, 2020",5:00p,REG,,Morehead State,OVC,W,77,44,,3,0,W 3,Covelli Centre
4,"Tue, Dec 8, 2020",7:30p,REG,@,Notre Dame,ACC,W,90,85,,4,0,W 4,Purcell Pavilion at the Joyce Center
5,"Sun, Dec 13, 2020",4:00p,REG,,Cleveland State,Horizon,W,67,61,,5,0,W 5,Value City Arena
6,"Wed, Dec 16, 2020",7:00p,REG,@,Purdue,Big Ten,L,60,67,,5,1,L 1,Mackey Arena
7,"Sat, Dec 19, 2020",4:56p,REG,N,UCLA,Pac-12,W,77,70,,6,1,W 1,Quicken Loans Arena
8,"Wed, Dec 23, 2020",4:30p,REG,,Rutgers (11),Big Ten,W,80,68,,7,1,W 2,Value City Arena
9,"Sat, Dec 26, 2020",2:00p,REG,@,Northwestern,Big Ten,L,70,71,,7,2,L 1,Welsh-Ryan Arena
10,"Wed, Dec 30, 2020",6:30p,REG,,Nebraska,Big Ten,W,90,54,,8,2,W 1,Value City Arena
11,"Sun, Jan 3, 2021",5:30p,REG,@,Minnesota (21),Big Ten,L,60,77,,8,3,L 1,Williams Arena
12,"Sat, Jan 9, 2021",12:00p,REG,@,Rutgers (15),Big Ten,W,79,68,,9,3,W 1,Rutgers Athletic Center
13,"Wed, Jan 13, 2021",7:00p,REG,,Northwestern,Big Ten,W,81,71,,10,3,W 2,Value City Arena
14,"Sat, Jan 16, 2021",12:00p,REG,@,Illinois (14),Big Ten,W,87,81,,11,3,W 3,State Farm Center
15,"Tue, Jan 19, 2021",6:30p,REG,,Purdue,Big Ten,L,65,67,,11,4,L 1,Value City Arena
16,"Sat, Jan 23, 2021",4:00p,REG,@,Wisconsin (10),Big Ten,W,74,62,,12,4,W 1,Kohl Center
17,"Wed, Jan 27, 2021",7:00p,REG,,Penn State,Big Ten,W,83,79,,13,4,W 2,Value City Arena
18,"Sun, Jan 31, 2021",1:00p,REG,,Michigan State,Big Ten,W,79,62,,14,4,W 3,Value City Arena
19,"Thu, Feb 4, 2021",7:00p,REG,@,Iowa (8),Big Ten,W,89,85,,15,4,W 4,Carver-Hawkeye Arena
20,"Mon, Feb 8, 2021",9:00p,REG,@,Maryland,Big Ten,W,73,65,,16,4,W 5,Xfinity Center
21,"Sat, Feb 13, 2021",12:00p,REG,,Indiana,Big Ten,W,78,59,,17,4,W 6,Value City Arena
22,"Thu, Feb 18, 2021",8:00p,REG,@,Penn State,Big Ten,W,92,82,,18,4,W 7,Bryce Jordan Center
23,"Sun, Feb 21, 2021",1:00p,REG,,Michigan (3),Big Ten,L,87,92,,18,5,L 1,Value City Arena
24,"Thu, Feb 25, 2021",9:00p,REG,@,Michigan State,Big Ten,L,67,71,,18,6,L 2,Breslin Events Center
25,"Sun, Feb 28, 2021",4:00p,REG,,Iowa (9),Big Ten,L,57,73,,18,7,L 3,Value City Arena
26,"Sat, Mar 6, 2021",4:00p,REG,,Illinois (4),Big Ten,L,68,73,,18,8,L 4,Value City Arena
27,"Thu, Mar 11, 2021",2:00p,CTOURN,N,Minnesota,Big Ten,W,79,75,,19,8,W 1,Lucas Oil Stadium
28,"Fri, Mar 12, 2021",2:00p,CTOURN,N,Purdue (20),Big Ten,W,87,78,OT,20,8,W 2,Lucas Oil Stadium
29,"Sat, Mar 13, 2021",1:00p,CTOURN,N,Michigan (4),Big Ten,W,68,67,,21,8,W 3,Lucas Oil Stadium
30,"Sun, Mar 14, 2021",3:30p,CTOURN,N,Illinois (3),Big Ten,L,88,91,OT,21,9,L 1,Lucas Oil Stadium
31,"Fri, Mar 19, 2021",3:00p,NCAA,N,Oral Roberts,Summit,L,72,75,OT,21,10,L 2,Mackey Arena
