G,Date,Time,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak,Arena
1,"Wed, Nov 25, 2020",5:30p,REG,N,Liberty,A-Sun,W,77,64,,1,0,W 1,Titan Field House
2,"Thu, Nov 26, 2020",8:30p,REG,N,Clemson,ACC,L,70,81,,1,1,L 1,Titan Field House
3,"Tue, Dec 1, 2020",3:00p,REG,,Oakland,Horizon,W,93,50,,2,1,W 1,Mackey Arena
4,"Fri, Dec 4, 2020",7:00p,REG,,Valparaiso,MVC,W,68,61,,3,1,W 2,Mackey Arena
5,"Tue, Dec 8, 2020",5:00p,REG,@,Miami (FL),ACC,L,54,58,,3,2,L 1,BankUnited Center
6,"Sat, Dec 12, 2020",7:30p,REG,,Indiana State,MVC,W,80,68,,4,2,W 1,Mackey Arena
7,"Wed, Dec 16, 2020",7:00p,REG,,Ohio State (20),Big Ten,W,67,60,,5,2,W 2,Mackey Arena
8,"Sat, Dec 19, 2020",2:30p,REG,N,Notre Dame,ACC,W,88,78,,6,2,W 3,Bankers Life Fieldhouse
9,"Tue, Dec 22, 2020",9:00p,REG,@,Iowa (4),Big Ten,L,55,70,,6,3,L 1,Carver-Hawkeye Arena
10,"Fri, Dec 25, 2020",2:30p,REG,,Maryland,Big Ten,W,73,70,,7,3,W 1,Mackey Arena
11,"Tue, Dec 29, 2020",7:00p,REG,@,Rutgers (14),Big Ten,L,76,81,,7,4,L 1,Rutgers Athletic Center
12,"Sat, Jan 2, 2021",6:00p,REG,@,Illinois (15),Big Ten,L,58,66,,7,5,L 2,State Farm Center
13,"Fri, Jan 8, 2021",7:00p,REG,@,Michigan State (23),Big Ten,W,55,54,,8,5,W 1,Breslin Events Center
14,"Thu, Jan 14, 2021",7:00p,REG,@,Indiana,Big Ten,W,81,69,,9,5,W 2,Assembly Hall
15,"Sun, Jan 17, 2021",1:00p,REG,,Penn State,Big Ten,W,80,72,,10,5,W 3,Mackey Arena
16,"Tue, Jan 19, 2021",6:30p,REG,@,Ohio State (15),Big Ten,W,67,65,,11,5,W 4,Value City Arena
17,"Fri, Jan 22, 2021",7:00p,REG,,Michigan (7),Big Ten,L,53,70,,11,6,L 1,Mackey Arena
18,"Sat, Jan 30, 2021",7:30p,REG,,Minnesota (21),Big Ten,W,81,62,,12,6,W 1,Mackey Arena
19,"Tue, Feb 2, 2021",6:30p,REG,@,Maryland,Big Ten,L,60,61,,12,7,L 1,Xfinity Center
20,"Sat, Feb 6, 2021",4:30p,REG,,Northwestern,Big Ten,W,75,70,,13,7,W 1,Mackey Arena
21,"Thu, Feb 11, 2021",5:00p,REG,@,Minnesota,Big Ten,L,68,71,,13,8,L 1,Williams Arena
22,"Tue, Feb 16, 2021",7:00p,REG,,Michigan State,Big Ten,W,75,65,,14,8,W 1,Mackey Arena
23,"Sat, Feb 20, 2021",5:30p,REG,@,Nebraska,Big Ten,W,75,58,,15,8,W 2,Pinnacle Bank Arena
24,"Fri, Feb 26, 2021",7:00p,REG,@,Penn State,Big Ten,W,73,52,,16,8,W 3,Bryce Jordan Center
25,"Tue, Mar 2, 2021",9:00p,REG,,Wisconsin (25),Big Ten,W,73,69,,17,8,W 4,Mackey Arena
26,"Sat, Mar 6, 2021",2:00p,REG,,Indiana,Big Ten,W,67,58,,18,8,W 5,Mackey Arena
27,"Fri, Mar 12, 2021",2:00p,CTOURN,N,Ohio State (9),Big Ten,L,78,87,OT,18,9,L 1,Lucas Oil Stadium
28,"Fri, Mar 19, 2021",7:25p,NCAA,N,North Texas,CUSA,L,69,78,OT,18,10,L 2,Lucas Oil Stadium
