G,Date,Time,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak,Arena
1,"Wed, Nov 25, 2020",10:00p,REG,,Eastern Illinois,OVC,W,77,67,,1,0,W 1,Kohl Center
2,"Fri, Nov 27, 2020",9:00p,REG,,Arkansas-Pine Bluff,SWAC,W,92,58,,2,0,W 2,Kohl Center
3,"Tue, Dec 1, 2020",5:00p,REG,,Green Bay,Horizon,W,82,42,,3,0,W 3,Kohl Center
4,"Fri, Dec 4, 2020",7:00p,REG,@,Marquette,Big East,L,65,67,,3,1,L 1,Fiserv Forum
5,"Wed, Dec 9, 2020",4:30p,REG,,Rhode Island,A-10,W,73,62,,4,1,W 1,Kohl Center
6,"Tue, Dec 15, 2020",8:00p,REG,,Loyola (IL),MVC,W,77,63,,5,1,W 2,Kohl Center
7,"Sat, Dec 19, 2020",12:00p,REG,,Louisville (23),ACC,W,85,48,,6,1,W 3,Kohl Center
8,"Tue, Dec 22, 2020",7:00p,REG,,Nebraska,Big Ten,W,67,53,,7,1,W 4,Kohl Center
9,"Fri, Dec 25, 2020",12:30p,REG,@,Michigan State (12),Big Ten,W,85,76,,8,1,W 5,Breslin Events Center
10,"Mon, Dec 28, 2020",7:00p,REG,,Maryland,Big Ten,L,64,70,,8,2,L 1,Kohl Center
11,"Thu, Dec 31, 2020",4:30p,REG,,Minnesota (21),Big Ten,W,71,59,,9,2,W 1,Kohl Center
12,"Thu, Jan 7, 2021",7:00p,REG,,Indiana,Big Ten,W,80,73,2OT,10,2,W 2,Kohl Center
13,"Tue, Jan 12, 2021",7:00p,REG,@,Michigan (7),Big Ten,L,54,77,,10,3,L 1,Crisler Arena
14,"Fri, Jan 15, 2021",9:00p,REG,@,Rutgers,Big Ten,W,60,54,,11,3,W 1,Rutgers Athletic Center
15,"Wed, Jan 20, 2021",8:00p,REG,,Northwestern,Big Ten,W,68,52,,12,3,W 2,Kohl Center
16,"Sat, Jan 23, 2021",4:00p,REG,,Ohio State (15),Big Ten,L,62,74,,12,4,L 1,Kohl Center
17,"Wed, Jan 27, 2021",9:00p,REG,@,Maryland,Big Ten,W,61,55,,13,4,W 1,Xfinity Center
18,"Sat, Jan 30, 2021",3:00p,REG,@,Penn State,Big Ten,L,71,81,,13,5,L 1,Bryce Jordan Center
19,"Tue, Feb 2, 2021",8:30p,REG,,Penn State,Big Ten,W,72,56,,14,5,W 1,Kohl Center
20,"Sat, Feb 6, 2021",2:30p,REG,@,Illinois (12),Big Ten,L,60,75,,14,6,L 1,State Farm Center
21,"Wed, Feb 10, 2021",9:30p,REG,@,Nebraska,Big Ten,W,61,48,,15,6,W 1,Pinnacle Bank Arena
22,"Sun, Feb 14, 2021",1:00p,REG,,Michigan (3),Big Ten,L,59,67,,15,7,L 1,Kohl Center
23,"Thu, Feb 18, 2021",7:00p,REG,,Iowa (11),Big Ten,L,62,77,,15,8,L 2,Kohl Center
24,"Sun, Feb 21, 2021",7:00p,REG,@,Northwestern,Big Ten,W,68,51,,16,8,W 1,Welsh-Ryan Arena
25,"Sat, Feb 27, 2021",2:00p,REG,,Illinois (5),Big Ten,L,69,74,,16,9,L 1,Kohl Center
26,"Tue, Mar 2, 2021",9:00p,REG,@,Purdue (23),Big Ten,L,69,73,,16,10,L 2,Mackey Arena
27,"Sun, Mar 7, 2021",12:30p,REG,@,Iowa (5),Big Ten,L,73,77,,16,11,L 3,Carver-Hawkeye Arena
28,"Thu, Mar 11, 2021",9:00p,CTOURN,N,Penn State,Big Ten,W,75,74,,17,11,W 1,Lucas Oil Stadium
29,"Fri, Mar 12, 2021",9:00p,CTOURN,N,Iowa (5),Big Ten,L,57,62,,17,12,L 1,Lucas Oil Stadium
30,"Fri, Mar 19, 2021",7:10p,NCAA,N,North Carolina,ACC,W,85,62,,18,12,W 1,Mackey Arena
31,"Sun, Mar 21, 2021",2:40p,NCAA,N,Baylor (3),Big 12,L,63,76,,18,13,L 1,Hinkle Fieldhouse
