G,Date,Time,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak,Arena
1,"Sat, Nov 28, 2020",8:00p,REG,N,Louisiana,Sun Belt,W,112,82,,1,0,W 1,T-Mobile Arena
2,"Sun, Nov 29, 2020",6:00p,REG,N,Washington,Pac-12,W,86,52,,2,0,W 2,T-Mobile Arena
3,"Wed, Dec 2, 2020",10:00p,REG,N,Illinois (5),Big Ten,W,82,69,,3,0,W 3,Bankers Life Fieldhouse
4,"Wed, Dec 9, 2020",8:00p,REG,,Stephen F. Austin,Southland,W,83,52,,4,0,W 4,Ferrell Center
5,"Sat, Dec 19, 2020",4:00p,REG,@,Kansas State,Big 12,W,100,69,,5,0,W 5,Bramlage Coliseum
6,"Mon, Dec 21, 2020",8:00p,REG,,Arkansas-Pine Bluff,SWAC,W,99,42,,6,0,W 6,Ferrell Center
7,"Tue, Dec 29, 2020",4:00p,REG,,Central Arkansas,Southland,W,93,56,,7,0,W 7,Ferrell Center
8,"Wed, Dec 30, 2020",3:00p,REG,,Alcorn State,SWAC,W,105,76,,8,0,W 8,Ferrell Center
9,"Sat, Jan 2, 2021",1:00p,REG,@,Iowa State,Big 12,W,76,65,,9,0,W 9,James H. Hilton Coliseum
10,"Wed, Jan 6, 2021",9:00p,REG,,Oklahoma,Big 12,W,76,61,,10,0,W 10,Ferrell Center
11,"Sat, Jan 9, 2021",3:00p,REG,@,Texas Christian,Big 12,W,67,49,,11,0,W 11,Ed & Rae Schollmaier Arena
12,"Sat, Jan 16, 2021",4:00p,REG,@,Texas Tech (15),Big 12,W,68,60,,12,0,W 12,United Supermarkets Arena
13,"Mon, Jan 18, 2021",9:00p,REG,,Kansas (9),Big 12,W,77,69,,13,0,W 13,Ferrell Center
14,"Sat, Jan 23, 2021",2:00p,REG,@,Oklahoma State,Big 12,W,81,66,,14,0,W 14,Gallagher-Iba Arena
15,"Wed, Jan 27, 2021",9:00p,REG,,Kansas State,Big 12,W,107,59,,15,0,W 15,Ferrell Center
16,"Sat, Jan 30, 2021",4:00p,REG,,Auburn,SEC,W,84,72,,16,0,W 16,Ferrell Center
17,"Tue, Feb 2, 2021",7:00p,REG,@,Texas (6),Big 12,W,83,69,,17,0,W 17,Frank Erwin Center
18,"Tue, Feb 23, 2021",8:00p,REG,,Iowa State,Big 12,W,77,72,,18,0,W 18,Ferrell Center
19,"Sat, Feb 27, 2021",8:00p,REG,@,Kansas (17),Big 12,L,58,71,,18,1,L 1,Allen Fieldhouse
20,"Tue, Mar 2, 2021",5:00p,REG,@,West Virginia (6),Big 12,W,94,89,OT,19,1,W 1,WVU Coliseum
21,"Thu, Mar 4, 2021",7:00p,REG,,Oklahoma State (17),Big 12,W,81,70,,20,1,W 2,Ferrell Center
22,"Sun, Mar 7, 2021",4:00p,REG,,Texas Tech (18),Big 12,W,88,73,,21,1,W 3,Ferrell Center
23,"Thu, Mar 11, 2021",2:30p,CTOURN,N,Kansas State,Big 12,W,74,68,,22,1,W 4,Sprint Center
24,"Fri, Mar 12, 2021",6:30p,CTOURN,N,Oklahoma State (12),Big 12,L,74,83,,22,2,L 1,Sprint Center
25,"Fri, Mar 19, 2021",3:30p,NCAA,N,Hartford,AEC,W,79,55,,23,2,W 1,Lucas Oil Stadium
26,"Sun, Mar 21, 2021",2:40p,NCAA,N,Wisconsin,Big Ten,W,76,63,,24,2,W 2,Hinkle Fieldhouse
27,"Sat, Mar 27, 2021",5:15p,NCAA,N,Villanova (18),Big East,W,62,51,,25,2,W 3,Hinkle Fieldhouse
28,"Mon, Mar 29, 2021",9:57p,NCAA,N,Arkansas (10),SEC,W,81,72,,26,2,W 4,Lucas Oil Stadium
29,"Sat, Apr 3, 2021",5:14p,NCAA,N,Houston (6),AAC,W,78,59,,27,2,W 5,Lucas Oil Stadium
30,"Mon, Apr 5, 2021",9:20p,NCAA,N,Gonzaga (1),WCC,W,86,70,,28,2,W 6,Lucas Oil Stadium
