G,Date,Time,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak,Arena
1,"Sun, Nov 29, 2020",1:00p,REG,,Arkansas-Pine Bluff,SWAC,W,80,63,,1,0,W 1,James H. Hilton Coliseum
2,"Wed, Dec 2, 2020",7:00p,REG,,South Dakota State,Summit,L,68,71,,1,1,L 1,James H. Hilton Coliseum
3,"Fri, Dec 11, 2020",9:00p,REG,@,Iowa (3),Big Ten,L,77,105,,1,2,L 2,Carver-Hawkeye Arena
4,"Tue, Dec 15, 2020",9:00p,REG,,Kansas State,Big 12,L,65,74,,1,3,L 3,James H. Hilton Coliseum
5,"Fri, Dec 18, 2020",9:00p,REG,@,West Virginia (8),Big 12,L,65,70,,1,4,L 4,WVU Coliseum
6,"Sun, Dec 20, 2020",1:00p,REG,,Jackson State,SWAC,W,60,45,,2,4,W 1,James H. Hilton Coliseum
7,"Sat, Jan 2, 2021",1:00p,REG,,Baylor (2),Big 12,L,65,76,,2,5,L 1,James H. Hilton Coliseum
8,"Tue, Jan 5, 2021",8:00p,REG,@,Texas (4),Big 12,L,72,78,,2,6,L 2,Frank Erwin Center
9,"Sat, Jan 9, 2021",4:00p,REG,,Texas Tech (18),Big 12,L,64,91,,2,7,L 3,James H. Hilton Coliseum
10,"Mon, Jan 25, 2021",9:00p,REG,,Oklahoma State,Big 12,L,60,81,,2,8,L 4,James H. Hilton Coliseum
11,"Sat, Jan 30, 2021",6:00p,REG,@,Mississippi State,SEC,L,56,95,,2,9,L 5,Humphrey Coliseum
12,"Tue, Feb 2, 2021",7:00p,REG,,West Virginia (17),Big 12,L,72,76,,2,10,L 6,James H. Hilton Coliseum
13,"Sat, Feb 6, 2021",12:00p,REG,@,Oklahoma (9),Big 12,L,72,79,,2,11,L 7,Lloyd Noble Center
14,"Tue, Feb 9, 2021",9:00p,REG,@,Texas Christian,Big 12,L,76,79,,2,12,L 8,Ed & Rae Schollmaier Arena
15,"Thu, Feb 11, 2021",7:00p,REG,@,Kansas,Big 12,L,64,97,,2,13,L 9,Allen Fieldhouse
16,"Sat, Feb 13, 2021",3:00p,REG,,Kansas,Big 12,L,50,64,,2,14,L 10,James H. Hilton Coliseum
17,"Tue, Feb 16, 2021",4:00p,REG,@,Oklahoma State,Big 12,L,58,76,,2,15,L 11,Gallagher-Iba Arena
18,"Sat, Feb 20, 2021",6:00p,REG,,Oklahoma (9),Big 12,L,56,66,,2,16,L 12,James H. Hilton Coliseum
19,"Tue, Feb 23, 2021",8:00p,REG,@,Baylor (2),Big 12,L,72,77,,2,17,L 13,Ferrell Center
20,"Sat, Feb 27, 2021",6:00p,REG,,Texas Christian,Big 12,L,72,76,,2,18,L 14,James H. Hilton Coliseum
21,"Tue, Mar 2, 2021",7:00p,REG,,Texas (15),Big 12,L,67,81,,2,19,L 15,James H. Hilton Coliseum
22,"Thu, Mar 4, 2021",7:00p,REG,@,Texas Tech (18),Big 12,L,54,81,,2,20,L 16,United Supermarkets Arena
23,"Sat, Mar 6, 2021",5:00p,REG,@,Kansas State,Big 12,L,56,61,,2,21,L 17,Bramlage Coliseum
24,"Wed, Mar 10, 2021",9:30p,CTOURN,N,Oklahoma (25),Big 12,L,73,79,,2,22,L 18,Sprint Center
