G,Date,Time,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak,Arena
1,"Wed, Nov 25, 2020",2:00p,REG,,Drake,MVC,L,70,80,,0,1,L 1,Bramlage Coliseum
2,"Fri, Nov 27, 2020",8:30p,REG,,Colorado,Pac-12,L,58,76,,0,2,L 2,Bramlage Coliseum
3,"Mon, Nov 30, 2020",8:00p,REG,,Kansas City,Summit,W,62,58,,1,2,W 1,Bramlage Coliseum
4,"Sat, Dec 5, 2020",8:00p,REG,,Nevada-Las Vegas,MWC,L,58,68,,1,3,L 1,Bramlage Coliseum
5,"Tue, Dec 8, 2020",8:00p,REG,,Fort Hays State,,L,68,81,,1,4,L 2,Bramlage Coliseum
6,"Fri, Dec 11, 2020",8:00p,REG,,Milwaukee,Horizon,W,76,75,,2,4,W 1,Bramlage Coliseum
7,"Tue, Dec 15, 2020",9:00p,REG,@,Iowa State,Big 12,W,74,65,,3,4,W 2,James H. Hilton Coliseum
8,"Sat, Dec 19, 2020",4:00p,REG,,Baylor (2),Big 12,L,69,100,,3,5,L 1,Bramlage Coliseum
9,"Mon, Dec 21, 2020",2:00p,REG,,Jacksonville,A-Sun,W,70,46,,4,5,W 1,Bramlage Coliseum
10,"Tue, Dec 29, 2020",8:00p,REG,,Omaha,Summit,W,60,58,,5,5,W 2,Bramlage Coliseum
11,"Sat, Jan 2, 2021",2:00p,REG,,Texas Christian,Big 12,L,60,67,,5,6,L 1,Bramlage Coliseum
12,"Tue, Jan 5, 2021",7:00p,REG,@,Texas Tech (18),Big 12,L,71,82,,5,7,L 2,United Supermarkets Arena
13,"Sat, Jan 9, 2021",6:00p,REG,,Oklahoma State,Big 12,L,54,70,,5,8,L 3,Bramlage Coliseum
14,"Sat, Jan 16, 2021",8:00p,REG,@,Texas (4),Big 12,L,67,82,,5,9,L 4,Frank Erwin Center
15,"Tue, Jan 19, 2021",6:30p,REG,@,Oklahoma,Big 12,L,50,76,,5,10,L 5,Lloyd Noble Center
16,"Sat, Jan 23, 2021",4:00p,REG,,West Virginia (14),Big 12,L,47,69,,5,11,L 6,Bramlage Coliseum
17,"Wed, Jan 27, 2021",9:00p,REG,@,Baylor (2),Big 12,L,59,107,,5,12,L 7,Ferrell Center
18,"Sat, Jan 30, 2021",12:00p,REG,,Texas A&M,SEC,L,61,68,,5,13,L 8,Bramlage Coliseum
19,"Tue, Feb 2, 2021",8:00p,REG,@,Kansas (23),Big 12,L,51,74,,5,14,L 9,Allen Fieldhouse
20,"Sat, Feb 6, 2021",4:00p,REG,,Texas Tech (13),Big 12,L,62,73,,5,15,L 10,Bramlage Coliseum
21,"Tue, Feb 9, 2021",8:00p,REG,,Texas (13),Big 12,L,77,80,,5,16,L 11,Bramlage Coliseum
22,"Sat, Feb 13, 2021",12:00p,REG,@,Oklahoma State (23),Big 12,L,60,67,,5,17,L 12,Gallagher-Iba Arena
23,"Wed, Feb 17, 2021",8:00p,REG,,Kansas (23),Big 12,L,41,59,,5,18,L 13,Bramlage Coliseum
24,"Sat, Feb 20, 2021",5:00p,REG,@,Texas Christian,Big 12,W,62,54,,6,18,W 1,Ed & Rae Schollmaier Arena
25,"Tue, Feb 23, 2021",9:00p,REG,,Oklahoma (7),Big 12,W,62,57,,7,18,W 2,Bramlage Coliseum
26,"Sat, Feb 27, 2021",4:00p,REG,@,West Virginia (10),Big 12,L,43,65,,7,19,L 1,WVU Coliseum
27,"Sat, Mar 6, 2021",5:00p,REG,,Iowa State,Big 12,W,61,56,,8,19,W 1,Bramlage Coliseum
28,"Wed, Mar 10, 2021",6:30p,CTOURN,N,Texas Christian,Big 12,W,71,50,,9,19,W 2,Sprint Center
29,"Thu, Mar 11, 2021",2:30p,CTOURN,N,Baylor (2),Big 12,L,68,74,,9,20,L 1,Sprint Center
