G,Date,Time,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak,Arena
1,"Thu, Dec 3, 2020",8:00p,REG,,Texas-San Antonio,CUSA,W,105,66,,1,0,W 1,Lloyd Noble Center
2,"Sun, Dec 6, 2020",4:00p,REG,@,Texas Christian,Big 12,W,82,78,,2,0,W 2,Ed & Rae Schollmaier Arena
3,"Wed, Dec 9, 2020",8:00p,REG,@,Xavier,Big East,L,77,99,,2,1,L 1,Cintas Center
4,"Sat, Dec 12, 2020",5:00p,REG,,Florida A&M,MEAC,W,85,54,,3,1,W 1,Lloyd Noble Center
5,"Wed, Dec 16, 2020",8:00p,REG,,Oral Roberts,Summit,W,79,65,,4,1,W 2,Lloyd Noble Center
6,"Sat, Dec 19, 2020",5:00p,REG,,Houston Baptist,Southland,W,84,65,,5,1,W 3,Lloyd Noble Center
7,"Tue, Dec 22, 2020",7:00p,REG,,Texas Tech (15),Big 12,L,67,69,,5,2,L 1,Lloyd Noble Center
8,"Sat, Jan 2, 2021",4:00p,REG,,West Virginia (9),Big 12,W,75,71,,6,2,W 1,Lloyd Noble Center
9,"Wed, Jan 6, 2021",9:00p,REG,@,Baylor (2),Big 12,L,61,76,,6,3,L 1,Ferrell Center
10,"Sat, Jan 9, 2021",4:30p,REG,@,Kansas (6),Big 12,L,59,63,,6,4,L 2,Allen Fieldhouse
11,"Tue, Jan 12, 2021",7:30p,REG,,Texas Christian,Big 12,W,82,46,,7,4,W 1,Lloyd Noble Center
12,"Tue, Jan 19, 2021",6:30p,REG,,Kansas State,Big 12,W,76,50,,8,4,W 2,Lloyd Noble Center
13,"Sat, Jan 23, 2021",12:00p,REG,,Kansas (9),Big 12,W,75,68,,9,4,W 3,Lloyd Noble Center
14,"Tue, Jan 26, 2021",7:00p,REG,@,Texas (5),Big 12,W,80,79,,10,4,W 4,Frank Erwin Center
15,"Sat, Jan 30, 2021",12:00p,REG,,Alabama (9),SEC,W,66,61,,11,4,W 5,Lloyd Noble Center
16,"Mon, Feb 1, 2021",9:00p,REG,@,Texas Tech (13),Big 12,L,52,57,,11,5,L 1,United Supermarkets Arena
17,"Sat, Feb 6, 2021",12:00p,REG,,Iowa State,Big 12,W,79,72,,12,5,W 1,Lloyd Noble Center
18,"Sat, Feb 13, 2021",1:00p,REG,@,West Virginia (14),Big 12,W,91,90,2OT,13,5,W 2,WVU Coliseum
19,"Sat, Feb 20, 2021",6:00p,REG,@,Iowa State,Big 12,W,66,56,,14,5,W 3,James H. Hilton Coliseum
20,"Tue, Feb 23, 2021",9:00p,REG,@,Kansas State,Big 12,L,57,62,,14,6,L 1,Bramlage Coliseum
21,"Sat, Feb 27, 2021",3:00p,REG,,Oklahoma State,Big 12,L,90,94,OT,14,7,L 2,Lloyd Noble Center
22,"Mon, Mar 1, 2021",9:00p,REG,@,Oklahoma State (17),Big 12,L,75,79,,14,8,L 3,Gallagher-Iba Arena
23,"Thu, Mar 4, 2021",9:00p,REG,,Texas (15),Big 12,L,65,69,,14,9,L 4,Lloyd Noble Center
24,"Wed, Mar 10, 2021",9:30p,CTOURN,N,Iowa State,Big 12,W,79,73,,15,9,W 1,Sprint Center
25,"Thu, Mar 11, 2021",6:30p,CTOURN,@,Kansas (11),Big 12,L,62,69,,15,10,L 1,Sprint Center
26,"Sat, Mar 20, 2021",7:25p,NCAA,N,Missouri,SEC,W,72,68,,16,10,W 1,Lucas Oil Stadium
27,"Mon, Mar 22, 2021",2:40p,NCAA,N,Gonzaga (1),WCC,L,71,87,,16,11,L 1,Hinkle Fieldhouse
