G,Date,Time,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak,Arena
1,"Wed, Nov 25, 2020",4:00p,REG,@,Texas-Arlington,Sun Belt,W,75,68,,1,0,W 1,College Park Center
2,"Sat, Nov 28, 2020",7:30p,REG,,Texas Southern,SWAC,W,85,65,,2,0,W 2,Gallagher-Iba Arena
3,"Tue, Dec 1, 2020",7:00p,REG,@,Marquette,Big East,W,70,62,,3,0,W 3,Fiserv Forum
4,"Sat, Dec 5, 2020",7:30p,REG,,Oakland,Horizon,W,84,71,,4,0,W 4,Gallagher-Iba Arena
5,"Tue, Dec 8, 2020",8:00p,REG,,Oral Roberts,Summit,W,83,78,,5,0,W 5,Gallagher-Iba Arena
6,"Sat, Dec 12, 2020",3:00p,REG,@,Wichita State,AAC,W,67,64,,6,0,W 6,Charles Koch Arena
7,"Wed, Dec 16, 2020",7:00p,REG,,Texas Christian,Big 12,L,76,77,,6,1,L 1,Gallagher-Iba Arena
8,"Sun, Dec 20, 2020",2:00p,REG,@,Texas (11),Big 12,L,74,77,,6,2,L 2,Frank Erwin Center
9,"Sat, Jan 2, 2021",4:00p,REG,@,Texas Tech (13),Big 12,W,82,77,OT,7,2,W 1,United Supermarkets Arena
10,"Mon, Jan 4, 2021",9:00p,REG,,West Virginia (14),Big 12,L,84,87,,7,3,L 1,Gallagher-Iba Arena
11,"Sat, Jan 9, 2021",6:00p,REG,@,Kansas State,Big 12,W,70,54,,8,3,W 1,Bramlage Coliseum
12,"Tue, Jan 12, 2021",8:00p,REG,,Kansas (6),Big 12,W,75,70,,9,3,W 2,Gallagher-Iba Arena
13,"Sat, Jan 23, 2021",2:00p,REG,,Baylor (2),Big 12,L,66,81,,9,4,L 1,Gallagher-Iba Arena
14,"Mon, Jan 25, 2021",9:00p,REG,@,Iowa State,Big 12,W,81,60,,10,4,W 1,James H. Hilton Coliseum
15,"Sat, Jan 30, 2021",4:00p,REG,,Arkansas,SEC,W,81,77,,11,4,W 2,Gallagher-Iba Arena
16,"Wed, Feb 3, 2021",9:00p,REG,@,Texas Christian,Big 12,L,78,81,,11,5,L 1,Ed & Rae Schollmaier Arena
17,"Sat, Feb 6, 2021",3:00p,REG,,Texas (6),Big 12,W,75,67,2OT,12,5,W 1,Gallagher-Iba Arena
18,"Mon, Feb 8, 2021",9:00p,REG,@,Kansas,Big 12,L,66,78,,12,6,L 1,Allen Fieldhouse
19,"Sat, Feb 13, 2021",12:00p,REG,,Kansas State,Big 12,W,67,60,,13,6,W 1,Gallagher-Iba Arena
20,"Tue, Feb 16, 2021",4:00p,REG,,Iowa State,Big 12,W,76,58,,14,6,W 2,Gallagher-Iba Arena
21,"Mon, Feb 22, 2021",9:00p,REG,,Texas Tech (18),Big 12,W,74,69,OT,15,6,W 3,Gallagher-Iba Arena
22,"Sat, Feb 27, 2021",3:00p,REG,@,Oklahoma (7),Big 12,W,94,90,OT,16,6,W 4,Lloyd Noble Center
23,"Mon, Mar 1, 2021",9:00p,REG,,Oklahoma (16),Big 12,W,79,75,,17,6,W 5,Gallagher-Iba Arena
24,"Thu, Mar 4, 2021",7:00p,REG,@,Baylor (3),Big 12,L,70,81,,17,7,L 1,Ferrell Center
25,"Sat, Mar 6, 2021",2:00p,REG,@,West Virginia (6),Big 12,W,85,80,,18,7,W 1,WVU Coliseum
26,"Thu, Mar 11, 2021",11:30a,CTOURN,N,West Virginia (10),Big 12,W,72,69,,19,7,W 2,Sprint Center
27,"Fri, Mar 12, 2021",6:30p,CTOURN,N,Baylor (2),Big 12,W,83,74,,20,7,W 3,Sprint Center
28,"Sat, Mar 13, 2021",6:00p,CTOURN,N,Texas (13),Big 12,L,86,91,,20,8,L 1,Sprint Center
29,"Fri, Mar 19, 2021",6:25p,NCAA,N,Liberty,A-Sun,W,69,60,,21,8,W 1,Indiana Farmers Coliseum
30,"Sun, Mar 21, 2021",9:40p,NCAA,N,Oregon State,Pac-12,L,70,80,,21,9,L 1,Hinkle Fieldhouse
