G,Date,Time,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak,Arena
1,"Fri, Nov 27, 2020",5:00p,REG,,Grambling,SWAC,W,74,55,,1,0,W 1,McKale Center
2,"Sat, Dec 5, 2020",2:00p,REG,,Eastern Washington,Big Sky,W,70,67,,2,0,W 2,McKale Center
3,"Mon, Dec 7, 2020",9:00p,REG,,Northern Arizona,Big Sky,W,96,53,,3,0,W 3,McKale Center
4,"Wed, Dec 9, 2020",7:00p,REG,,Cal State Bakersfield,Big West,W,85,60,,4,0,W 4,McKale Center
5,"Sat, Dec 12, 2020",6:00p,REG,,Texas-El Paso,CUSA,W,69,61,,5,0,W 5,McKale Center
6,"Sat, Dec 19, 2020",7:00p,REG,@,Stanford,Pac-12,L,75,78,,5,1,L 1,Kaiser Permanente Arena
7,"Tue, Dec 22, 2020",7:00p,REG,,Montana,Big Sky,W,70,64,,6,1,W 1,McKale Center
8,"Mon, Dec 28, 2020",9:30p,REG,,Colorado,Pac-12,W,88,74,,7,1,W 2,McKale Center
9,"Thu, Dec 31, 2020",8:00p,REG,@,Washington,Pac-12,W,80,53,,8,1,W 3,Alaska Airlines Arena
10,"Sat, Jan 2, 2021",10:30p,REG,@,Washington State,Pac-12,W,86,82,2OT,9,1,W 4,Beasley Coliseum
11,"Thu, Jan 7, 2021",9:00p,REG,,Southern California,Pac-12,L,73,87,,9,2,L 1,McKale Center
12,"Sat, Jan 9, 2021",9:00p,REG,,UCLA,Pac-12,L,76,81,,9,3,L 2,McKale Center
13,"Thu, Jan 14, 2021",11:00p,REG,@,Oregon State,Pac-12,W,98,64,,10,3,W 1,Gill Coliseum
14,"Thu, Jan 21, 2021",9:00p,REG,@,Arizona State,Pac-12,W,84,82,,11,3,W 2,Wells Fargo Arena
15,"Mon, Jan 25, 2021",11:00p,REG,,Arizona State,Pac-12,W,80,67,,12,3,W 3,McKale Center
16,"Thu, Jan 28, 2021",10:00p,REG,,Stanford,Pac-12,L,64,73,,12,4,L 1,McKale Center
17,"Sat, Jan 30, 2021",5:00p,REG,,University of California,Pac-12,W,71,50,,13,4,W 1,McKale Center
18,"Thu, Feb 4, 2021",7:00p,REG,@,Utah,Pac-12,L,58,73,,13,5,L 1,Jon M. Huntsman Center
19,"Sat, Feb 6, 2021",8:00p,REG,@,Colorado,Pac-12,L,79,82,,13,6,L 2,Coors Events/Conference Center
20,"Thu, Feb 11, 2021",8:00p,REG,,Oregon State,Pac-12,W,70,61,,14,6,W 1,McKale Center
21,"Sat, Feb 13, 2021",2:00p,REG,,Oregon,Pac-12,L,61,63,,14,7,L 1,McKale Center
22,"Thu, Feb 18, 2021",9:00p,REG,@,UCLA,Pac-12,L,60,74,,14,8,L 2,Pauley Pavilion
23,"Sat, Feb 20, 2021",6:00p,REG,@,Southern California (17),Pac-12,W,81,72,,15,8,W 1,Galen Center
24,"Thu, Feb 25, 2021",11:00p,REG,,Washington State,Pac-12,W,69,53,,16,8,W 2,McKale Center
25,"Sat, Feb 27, 2021",2:00p,REG,,Washington,Pac-12,W,75,74,,17,8,W 3,McKale Center
26,"Mon, Mar 1, 2021",9:00p,REG,@,Oregon,Pac-12,L,69,80,,17,9,L 1,Matthew Knight Arena
