G,Date,Time,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak,Arena
1,"Wed, Nov 25, 2020",7:00p,REG,N,Rhode Island,A-10,W,94,88,,1,0,W 1,Mohegan Sun Arena
2,"Thu, Nov 26, 2020",9:00p,REG,N,Villanova (3),Big East,L,74,83,,1,1,L 1,Mohegan Sun Arena
3,"Sun, Nov 29, 2020",4:00p,REG,,Houston Baptist,Southland,W,100,77,,2,1,W 1,Wells Fargo Arena
4,"Thu, Dec 3, 2020",10:00p,REG,@,University of California,Pac-12,W,70,62,,3,1,W 2,Haas Pavilion
5,"Thu, Dec 10, 2020",10:00p,REG,,San Diego State (24),MWC,L,68,80,,3,2,L 1,Wells Fargo Arena
6,"Sun, Dec 13, 2020",4:00p,REG,@,Grand Canyon,WAC,W,71,70,,4,2,W 1,Grand Canyon University Arena
7,"Wed, Dec 16, 2020",9:00p,REG,,Texas-El Paso,CUSA,L,63,76,,4,3,L 1,Wells Fargo Arena
8,"Thu, Jan 7, 2021",10:30p,REG,,UCLA,Pac-12,L,75,81,OT,4,4,L 2,Wells Fargo Arena
9,"Sat, Jan 9, 2021",7:00p,REG,,Southern California,Pac-12,L,64,73,,4,5,L 3,Wells Fargo Arena
10,"Sat, Jan 16, 2021",7:00p,REG,@,Oregon State,Pac-12,L,79,80,,4,6,L 4,Gill Coliseum
11,"Thu, Jan 21, 2021",9:00p,REG,,Arizona,Pac-12,L,82,84,,4,7,L 5,Wells Fargo Arena
12,"Mon, Jan 25, 2021",11:00p,REG,@,Arizona,Pac-12,L,67,80,,4,8,L 6,McKale Center
13,"Thu, Jan 28, 2021",11:00p,REG,,University of California,Pac-12,W,72,68,,5,8,W 1,Wells Fargo Arena
14,"Sat, Jan 30, 2021",8:00p,REG,,Stanford,Pac-12,W,79,75,,6,8,W 2,Wells Fargo Arena
15,"Thu, Feb 11, 2021",9:00p,REG,,Oregon,Pac-12,L,64,75,,6,9,L 1,Wells Fargo Arena
16,"Sun, Feb 14, 2021",7:00p,REG,,Oregon State,Pac-12,W,75,73,,7,9,W 1,Wells Fargo Arena
17,"Wed, Feb 17, 2021",8:00p,REG,@,Southern California (17),Pac-12,L,71,89,,7,10,L 1,Galen Center
18,"Sat, Feb 20, 2021",10:00p,REG,@,UCLA,Pac-12,L,79,80,,7,11,L 2,Pauley Pavilion
19,"Tue, Feb 23, 2021",9:00p,REG,,Washington,Pac-12,W,97,64,,8,11,W 1,Wells Fargo Arena
20,"Thu, Feb 25, 2021",7:00p,REG,,Washington,Pac-12,W,80,72,,9,11,W 2,Wells Fargo Arena
21,"Sat, Feb 27, 2021",9:00p,REG,,Washington State,Pac-12,W,77,74,OT,10,11,W 3,Wells Fargo Arena
22,"Thu, Mar 4, 2021",9:00p,REG,@,Colorado (24),Pac-12,L,61,75,,10,12,L 1,Coors Events/Conference Center
23,"Sat, Mar 6, 2021",2:00p,REG,@,Utah,Pac-12,L,59,98,,10,13,L 2,Jon M. Huntsman Center
24,"Wed, Mar 10, 2021",4:00p,CTOURN,N,Washington State,Pac-12,W,64,59,,11,13,W 1,T-Mobile Arena
25,"Thu, Mar 11, 2021",2:30p,CTOURN,N,Oregon,Pac-12,L,73,91,,11,14,L 1,T-Mobile Arena
