G,Date,Time,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak,Arena
1,"Wed, Nov 25, 2020",7:00p,REG,@,Oregon State,Pac-12,L,63,71,,0,1,L 1,Gill Coliseum
2,"Thu, Nov 26, 2020",6:00p,REG,N,Northwest University,,W,86,61,,1,1,W 1,Gill Coliseum
3,"Mon, Nov 30, 2020",7:30p,REG,,Nicholls State,Southland,W,60,49,,2,1,W 2,Haas Pavilion
4,"Thu, Dec 3, 2020",10:00p,REG,,Arizona State (25),Pac-12,L,62,70,,2,2,L 1,Haas Pavilion
5,"Sun, Dec 6, 2020",8:00p,REG,@,UCLA,Pac-12,L,56,76,,2,3,L 2,Pauley Pavilion
6,"Wed, Dec 9, 2020",9:00p,REG,@,Pepperdine,WCC,L,62,74,,2,4,L 3,Firestone Fieldhouse
7,"Sun, Dec 13, 2020",3:00p,REG,,San Francisco,WCC,W,72,70,,3,4,W 1,Haas Pavilion
8,"Sat, Dec 19, 2020",5:00p,REG,,Cal State Northridge,Big West,W,87,56,,4,4,W 2,Haas Pavilion
9,"Tue, Dec 22, 2020",5:00p,REG,,Seattle,WAC,W,70,65,,5,4,W 3,Haas Pavilion
10,"Thu, Dec 31, 2020",10:00p,REG,@,Oregon (21),Pac-12,L,69,82,,5,5,L 1,Matthew Knight Arena
11,"Sat, Jan 2, 2021",6:00p,REG,@,Oregon State,Pac-12,L,64,73,,5,6,L 2,Gill Coliseum
12,"Thu, Jan 7, 2021",10:00p,REG,,Washington State,Pac-12,L,60,71,,5,7,L 3,Haas Pavilion
13,"Sat, Jan 9, 2021",3:00p,REG,,Washington,Pac-12,W,84,78,,6,7,W 1,Haas Pavilion
14,"Thu, Jan 14, 2021",2:00p,REG,@,Colorado,Pac-12,L,60,89,,6,8,L 1,Coors Events/Conference Center
15,"Sat, Jan 16, 2021",10:00p,REG,@,Utah,Pac-12,W,72,63,,7,8,W 1,Jon M. Huntsman Center
16,"Thu, Jan 21, 2021",9:00p,REG,,UCLA (24),Pac-12,L,57,61,,7,9,L 1,Haas Pavilion
17,"Sat, Jan 23, 2021",8:00p,REG,,Southern California,Pac-12,L,68,76,,7,10,L 2,Haas Pavilion
18,"Thu, Jan 28, 2021",11:00p,REG,@,Arizona State,Pac-12,L,68,72,,7,11,L 3,Wells Fargo Arena
19,"Sat, Jan 30, 2021",5:00p,REG,@,Arizona,Pac-12,L,50,71,,7,12,L 4,McKale Center
20,"Thu, Feb 4, 2021",9:00p,REG,,Stanford,Pac-12,L,55,70,,7,13,L 5,Haas Pavilion
21,"Sun, Feb 7, 2021",10:00p,REG,@,Stanford,Pac-12,L,70,76,,7,14,L 6,Maples Pavilion
22,"Thu, Feb 11, 2021",6:00p,REG,,Utah,Pac-12,L,75,76,,7,15,L 7,Haas Pavilion
23,"Sat, Feb 13, 2021",10:00p,REG,,Colorado,Pac-12,W,71,62,,8,15,W 1,Haas Pavilion
24,"Thu, Feb 18, 2021",10:30p,REG,@,Washington State,Pac-12,L,51,82,,8,16,L 1,Beasley Coliseum
25,"Sat, Feb 20, 2021",10:00p,REG,@,Washington,Pac-12,L,51,62,,8,17,L 2,Alaska Airlines Arena
26,"Thu, Feb 25, 2021",10:00p,REG,,Oregon State,Pac-12,L,57,59,,8,18,L 3,Haas Pavilion
27,"Sat, Feb 27, 2021",4:00p,REG,,Oregon,Pac-12,L,63,74,,8,19,L 4,Haas Pavilion
28,"Wed, Mar 10, 2021",10:00p,CTOURN,N,Stanford,Pac-12,W,76,58,,9,19,W 1,T-Mobile Arena
29,"Thu, Mar 11, 2021",11:30p,CTOURN,N,Colorado (23),Pac-12,L,58,61,,9,20,L 1,T-Mobile Arena
