G,Date,Time,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak,Arena
1,"Mon, Nov 30, 2020",9:30p,REG,N,Alabama,SEC,W,82,64,,1,0,W 1,U.S. Cellular Center
2,"Tue, Dec 1, 2020",4:00p,REG,N,North Carolina (14),ACC,L,63,67,,1,1,L 1,U.S. Cellular Center
3,"Wed, Dec 2, 2020",1:30p,REG,N,Indiana,Big Ten,L,63,79,,1,2,L 2,U.S. Cellular Center
4,"Sun, Dec 6, 2020",2:00p,REG,@,North Carolina A&T,MEAC,W,78,46,,2,2,W 1,Ellis Corbett Sports Center
5,"Tue, Dec 15, 2020",5:00p,REG,@,Cal State Northridge,Big West,W,82,71,,3,2,W 2,The Matadome
6,"Sat, Dec 19, 2020",7:00p,REG,,Arizona,Pac-12,W,78,75,,4,2,W 3,Kaiser Permanente Arena
7,"Mon, Dec 21, 2020",9:00p,REG,,Cal State Bakersfield,Big West,W,63,50,,5,2,W 4,Kaiser Permanente Arena
8,"Sat, Jan 2, 2021",10:00p,REG,@,Oregon (21),Pac-12,L,56,73,,5,3,L 1,Matthew Knight Arena
9,"Mon, Jan 4, 2021",3:00p,REG,@,Oregon State,Pac-12,W,81,71,,6,3,W 1,Gill Coliseum
10,"Thu, Jan 7, 2021",9:00p,REG,N,Washington,Pac-12,W,91,75,,7,3,W 2,Kaiser Permanente Arena
11,"Sat, Jan 9, 2021",5:00p,REG,N,Washington State,Pac-12,W,75,60,,8,3,W 3,Kaiser Permanente Arena
12,"Thu, Jan 14, 2021",5:00p,REG,@,Utah,Pac-12,L,65,79,,8,4,L 1,Jon M. Huntsman Center
13,"Sat, Jan 16, 2021",3:00p,REG,@,Colorado,Pac-12,L,64,77,,8,5,L 2,Coors Events/Conference Center
14,"Sat, Jan 23, 2021",5:00p,REG,,UCLA (24),Pac-12,W,73,72,OT,9,5,W 1,Maples Pavilion
15,"Thu, Jan 28, 2021",10:00p,REG,@,Arizona,Pac-12,W,73,64,,10,5,W 2,McKale Center
16,"Sat, Jan 30, 2021",8:00p,REG,@,Arizona State,Pac-12,L,75,79,,10,6,L 1,Wells Fargo Arena
17,"Tue, Feb 2, 2021",9:00p,REG,,Southern California,Pac-12,L,66,72,,10,7,L 2,Maples Pavilion
18,"Thu, Feb 4, 2021",9:00p,REG,@,University of California,Pac-12,W,70,55,,11,7,W 1,Haas Pavilion
19,"Sun, Feb 7, 2021",10:00p,REG,,University of California,Pac-12,W,76,70,,12,7,W 2,Maples Pavilion
20,"Thu, Feb 11, 2021",7:00p,REG,,Colorado,Pac-12,L,51,69,,12,8,L 1,Maples Pavilion
21,"Sat, Feb 13, 2021",10:00p,REG,,Utah,Pac-12,W,73,66,,13,8,W 1,Maples Pavilion
22,"Thu, Feb 18, 2021",11:00p,REG,@,Washington,Pac-12,W,79,61,,14,8,W 2,Alaska Airlines Arena
23,"Sat, Feb 20, 2021",4:00p,REG,@,Washington State,Pac-12,L,76,85,3OT,14,9,L 1,Beasley Coliseum
24,"Thu, Feb 25, 2021",9:00p,REG,,Oregon,Pac-12,L,68,71,,14,10,L 2,Maples Pavilion
25,"Sat, Feb 27, 2021",6:30p,REG,,Oregon State,Pac-12,L,62,73,,14,11,L 3,Maples Pavilion
26,"Wed, Mar 3, 2021",10:30p,REG,@,Southern California,Pac-12,L,42,79,,14,12,L 4,Galen Center
27,"Wed, Mar 10, 2021",10:00p,CTOURN,N,University of California,Pac-12,L,58,76,,14,13,L 5,T-Mobile Arena
