G,Date,Time,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak,Arena
1,"Wed, Nov 25, 2020",10:30p,REG,@,San Diego State,MWC,L,58,73,,0,1,L 1,Viejas Arena
2,"Fri, Nov 27, 2020",3:00p,REG,N,Pepperdine,WCC,W,107,98,3OT,1,1,W 1,Viejas Arena
3,"Thu, Dec 3, 2020",8:00p,REG,,Seattle,WAC,W,78,52,,2,1,W 2,Pauley Pavilion
4,"Sun, Dec 6, 2020",8:00p,REG,,University of California,Pac-12,W,76,56,,3,1,W 3,Pauley Pavilion
5,"Wed, Dec 9, 2020",9:00p,REG,,San Diego,WCC,W,83,56,,4,1,W 4,Pauley Pavilion
6,"Fri, Dec 11, 2020",9:30p,REG,,Marquette,Big East,W,69,60,,5,1,W 5,Pauley Pavilion
7,"Sat, Dec 19, 2020",4:56p,REG,N,Ohio State (20),Big Ten,L,70,77,,5,2,L 1,Quicken Loans Arena
8,"Thu, Dec 31, 2020",7:00p,REG,,Utah,Pac-12,W,72,70,,6,2,W 1,Pauley Pavilion
9,"Sat, Jan 2, 2021",8:00p,REG,,Colorado,Pac-12,W,65,62,,7,2,W 2,Pauley Pavilion
10,"Thu, Jan 7, 2021",10:30p,REG,@,Arizona State,Pac-12,W,81,75,OT,8,2,W 3,Wells Fargo Arena
11,"Sat, Jan 9, 2021",9:00p,REG,@,Arizona,Pac-12,W,81,76,,9,2,W 4,McKale Center
12,"Thu, Jan 14, 2021",5:00p,REG,,Washington State,Pac-12,W,91,61,,10,2,W 5,Pauley Pavilion
13,"Sat, Jan 16, 2021",5:00p,REG,,Washington,Pac-12,W,81,76,,11,2,W 6,Pauley Pavilion
14,"Thu, Jan 21, 2021",9:00p,REG,@,University of California,Pac-12,W,61,57,,12,2,W 7,Haas Pavilion
15,"Sat, Jan 23, 2021",5:00p,REG,@,Stanford,Pac-12,L,72,73,OT,12,3,L 1,Maples Pavilion
16,"Sat, Jan 30, 2021",7:00p,REG,,Oregon State,Pac-12,W,57,52,,13,3,W 1,Pauley Pavilion
17,"Sat, Feb 6, 2021",10:00p,REG,@,Southern California,Pac-12,L,48,66,,13,4,L 1,Galen Center
18,"Thu, Feb 11, 2021",11:00p,REG,@,Washington State,Pac-12,L,73,81,,13,5,L 2,Beasley Coliseum
19,"Sat, Feb 13, 2021",7:30p,REG,@,Washington,Pac-12,W,64,61,,14,5,W 1,Alaska Airlines Arena
20,"Thu, Feb 18, 2021",9:00p,REG,,Arizona,Pac-12,W,74,60,,15,5,W 2,Pauley Pavilion
21,"Sat, Feb 20, 2021",10:00p,REG,,Arizona State,Pac-12,W,80,79,,16,5,W 3,Pauley Pavilion
22,"Thu, Feb 25, 2021",8:00p,REG,@,Utah,Pac-12,W,76,61,,17,5,W 4,Jon M. Huntsman Center
23,"Sat, Feb 27, 2021",10:00p,REG,@,Colorado,Pac-12,L,61,70,,17,6,L 1,Coors Events/Conference Center
24,"Wed, Mar 3, 2021",9:00p,REG,@,Oregon,Pac-12,L,74,82,,17,7,L 2,Matthew Knight Arena
25,"Sat, Mar 6, 2021",4:00p,REG,,Southern California,Pac-12,L,63,64,,17,8,L 3,Pauley Pavilion
26,"Thu, Mar 11, 2021",5:30p,CTOURN,N,Oregon State,Pac-12,L,79,83,OT,17,9,L 4,T-Mobile Arena
27,"Thu, Mar 18, 2021",10:19p,NCAA,N,Michigan State,Big Ten,W,86,80,OT,18,9,W 1,Mackey Arena
28,"Sat, Mar 20, 2021",9:40p,NCAA,N,Brigham Young (23),WCC,W,73,62,,19,9,W 2,Hinkle Fieldhouse
29,"Mon, Mar 22, 2021",5:15p,NCAA,N,Abilene Christian,Southland,W,67,47,,20,9,W 3,Bankers Life Fieldhouse
30,"Sun, Mar 28, 2021",7:15p,NCAA,N,Alabama (5),SEC,W,88,78,OT,21,9,W 4,Hinkle Fieldhouse
31,"Tue, Mar 30, 2021",9:57p,NCAA,N,Michigan (4),Big Ten,W,51,49,,22,9,W 5,Lucas Oil Stadium
32,"Sat, Apr 3, 2021",8:34p,NCAA,N,Gonzaga (1),WCC,L,90,93,OT,22,10,L 1,Lucas Oil Stadium
