G,Date,Time,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak,Arena
1,"Wed, Nov 25, 2020",9:00p,REG,,California Baptist,WAC,W,95,87,OT,1,0,W 1,Galen Center
2,"Sat, Nov 28, 2020",9:00p,REG,,Montana,Big Sky,W,76,62,,2,0,W 2,Galen Center
3,"Tue, Dec 1, 2020",2:30p,REG,N,Brigham Young,WCC,W,79,53,,3,0,W 3,Mohegan Sun Arena
4,"Thu, Dec 3, 2020",7:00p,REG,N,Connecticut,Big East,L,58,61,,3,1,L 1,Mohegan Sun Arena
5,"Tue, Dec 8, 2020",10:00p,REG,,UC-Irvine,Big West,W,91,56,,4,1,W 1,Galen Center
6,"Tue, Dec 29, 2020",7:00p,REG,,Santa Clara,WCC,W,86,63,,5,1,W 2,Galen Center
7,"Thu, Dec 31, 2020",10:00p,REG,,Colorado,Pac-12,L,62,72,,5,2,L 1,Galen Center
8,"Sat, Jan 2, 2021",4:00p,REG,,Utah,Pac-12,W,64,46,,6,2,W 1,Galen Center
9,"Thu, Jan 7, 2021",9:00p,REG,@,Arizona,Pac-12,W,87,73,,7,2,W 2,McKale Center
10,"Sat, Jan 9, 2021",7:00p,REG,@,Arizona State,Pac-12,W,73,64,,8,2,W 3,Wells Fargo Arena
11,"Tue, Jan 12, 2021",9:00p,REG,,UC-Riverside,Big West,W,67,62,OT,9,2,W 4,Galen Center
12,"Thu, Jan 14, 2021",9:30p,REG,,Washington,Pac-12,W,95,68,,10,2,W 5,Galen Center
13,"Sat, Jan 16, 2021",9:30p,REG,,Washington State,Pac-12,W,85,77,,11,2,W 6,Galen Center
14,"Tue, Jan 19, 2021",7:00p,REG,@,Oregon State,Pac-12,L,56,58,,11,3,L 1,Gill Coliseum
15,"Sat, Jan 23, 2021",8:00p,REG,@,University of California,Pac-12,W,76,68,,12,3,W 1,Haas Pavilion
16,"Thu, Jan 28, 2021",5:00p,REG,,Oregon State,Pac-12,W,75,62,,13,3,W 2,Galen Center
17,"Tue, Feb 2, 2021",9:00p,REG,@,Stanford,Pac-12,W,72,66,,14,3,W 3,Maples Pavilion
18,"Sat, Feb 6, 2021",10:00p,REG,,UCLA (21),Pac-12,W,66,48,,15,3,W 4,Galen Center
19,"Thu, Feb 11, 2021",10:00p,REG,@,Washington,Pac-12,W,69,54,,16,3,W 5,Alaska Airlines Arena
20,"Sat, Feb 13, 2021",8:00p,REG,@,Washington State,Pac-12,W,76,65,,17,3,W 6,Beasley Coliseum
21,"Wed, Feb 17, 2021",8:00p,REG,,Arizona State,Pac-12,W,89,71,,18,3,W 7,Galen Center
22,"Sat, Feb 20, 2021",6:00p,REG,,Arizona,Pac-12,L,72,81,,18,4,L 1,Galen Center
23,"Mon, Feb 22, 2021",9:00p,REG,,Oregon,Pac-12,W,72,58,,19,4,W 1,Galen Center
24,"Thu, Feb 25, 2021",9:00p,REG,@,Colorado,Pac-12,L,62,80,,19,5,L 1,Coors Events/Conference Center
25,"Sat, Feb 27, 2021",8:00p,REG,@,Utah,Pac-12,L,61,71,,19,6,L 2,Jon M. Huntsman Center
26,"Wed, Mar 3, 2021",10:30p,REG,,Stanford,Pac-12,W,79,42,,20,6,W 1,Galen Center
27,"Sat, Mar 6, 2021",4:00p,REG,@,UCLA,Pac-12,W,64,63,,21,6,W 2,Pauley Pavilion
28,"Thu, Mar 11, 2021",8:30p,CTOURN,N,Utah,Pac-12,W,91,85,2OT,22,6,W 3,T-Mobile Arena
29,"Fri, Mar 12, 2021",11:30p,CTOURN,N,Colorado (23),Pac-12,L,70,72,,22,7,L 1,T-Mobile Arena
30,"Sat, Mar 20, 2021",4:30p,NCAA,N,Drake,MVC,W,72,56,,23,7,W 1,Bankers Life Fieldhouse
31,"Mon, Mar 22, 2021",9:40p,NCAA,N,Kansas (12),Big 12,W,85,51,,24,7,W 2,Hinkle Fieldhouse
32,"Sun, Mar 28, 2021",9:45p,NCAA,N,Oregon,Pac-12,W,82,68,,25,7,W 3,Bankers Life Fieldhouse
33,"Tue, Mar 30, 2021",7:15p,NCAA,N,Gonzaga (1),WCC,L,66,85,,25,8,L 1,Lucas Oil Stadium
