G,Date,Time,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak,Arena
1,"Wed, Nov 25, 2020",11:00p,REG,,Texas Southern,SWAC,W,56,52,,1,0,W 1,Beasley Coliseum
2,"Sat, Nov 28, 2020",11:00p,REG,,Eastern Washington,Big Sky,W,71,68,,2,0,W 2,Beasley Coliseum
3,"Wed, Dec 2, 2020",10:00p,REG,,Oregon State,Pac-12,W,59,55,,3,0,W 3,Beasley Coliseum
4,"Wed, Dec 9, 2020",9:00p,REG,,Idaho,Big Sky,W,61,58,,4,0,W 4,Beasley Coliseum
5,"Sun, Dec 13, 2020",5:00p,REG,,Portland State,Big Sky,W,69,60,,5,0,W 5,Beasley Coliseum
6,"Fri, Dec 18, 2020",9:00p,REG,,Montana State,Big Sky,W,82,54,,6,0,W 6,Beasley Coliseum
7,"Mon, Dec 21, 2020",7:00p,REG,,Prairie View,SWAC,W,90,62,,7,0,W 7,Beasley Coliseum
8,"Wed, Dec 23, 2020",5:00p,REG,,Northwestern State,Southland,W,62,52,,8,0,W 8,Beasley Coliseum
9,"Sat, Jan 2, 2021",10:30p,REG,,Arizona,Pac-12,L,82,86,2OT,8,1,L 1,Beasley Coliseum
10,"Thu, Jan 7, 2021",10:00p,REG,@,University of California,Pac-12,W,71,60,,9,1,W 1,Haas Pavilion
11,"Sat, Jan 9, 2021",5:00p,REG,N,Stanford,Pac-12,L,60,75,,9,2,L 1,Kaiser Permanente Arena
12,"Thu, Jan 14, 2021",5:00p,REG,@,UCLA,Pac-12,L,61,91,,9,3,L 2,Pauley Pavilion
13,"Sat, Jan 16, 2021",9:30p,REG,@,Southern California,Pac-12,L,77,85,,9,4,L 3,Galen Center
14,"Thu, Jan 21, 2021",10:00p,REG,,Utah,Pac-12,L,56,71,,9,5,L 4,Beasley Coliseum
15,"Sat, Jan 23, 2021",8:00p,REG,,Colorado,Pac-12,L,59,70,,9,6,L 5,Beasley Coliseum
16,"Wed, Jan 27, 2021",9:00p,REG,@,Colorado,Pac-12,L,58,70,,9,7,L 6,Coors Events/Conference Center
17,"Sun, Jan 31, 2021",8:00p,REG,@,Washington,Pac-12,W,77,62,,10,7,W 1,Alaska Airlines Arena
18,"Thu, Feb 4, 2021",11:00p,REG,@,Oregon,Pac-12,W,74,71,,11,7,W 2,Matthew Knight Arena
19,"Sat, Feb 6, 2021",6:00p,REG,@,Oregon State,Pac-12,L,66,68,,11,8,L 1,Gill Coliseum
20,"Thu, Feb 11, 2021",11:00p,REG,,UCLA,Pac-12,W,81,73,,12,8,W 1,Beasley Coliseum
21,"Sat, Feb 13, 2021",8:00p,REG,,Southern California (20),Pac-12,L,65,76,,12,9,L 1,Beasley Coliseum
22,"Mon, Feb 15, 2021",8:00p,REG,,Washington,Pac-12,L,63,65,,12,10,L 2,Beasley Coliseum
23,"Thu, Feb 18, 2021",10:30p,REG,,University of California,Pac-12,W,82,51,,13,10,W 1,Beasley Coliseum
24,"Sat, Feb 20, 2021",4:00p,REG,,Stanford,Pac-12,W,85,76,3OT,14,10,W 2,Beasley Coliseum
25,"Thu, Feb 25, 2021",11:00p,REG,@,Arizona,Pac-12,L,53,69,,14,11,L 1,McKale Center
26,"Sat, Feb 27, 2021",9:00p,REG,@,Arizona State,Pac-12,L,74,77,OT,14,12,L 2,Wells Fargo Arena
27,"Wed, Mar 10, 2021",4:00p,CTOURN,N,Arizona State,Pac-12,L,59,64,,14,13,L 3,T-Mobile Arena
