G,Date,Time,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak,Arena
1,"Wed, Nov 25, 2020",7:30p,REG,,Mississippi Valley State,SWAC,W,142,62,,1,0,W 1,Bud Walton Arena
2,"Sat, Nov 28, 2020",6:00p,REG,,North Texas,CUSA,W,69,54,,2,0,W 2,Bud Walton Arena
3,"Wed, Dec 2, 2020",9:00p,REG,,Texas-Arlington,Sun Belt,W,72,60,,3,0,W 3,Bud Walton Arena
4,"Sat, Dec 5, 2020",5:00p,REG,,Lipscomb,A-Sun,W,86,50,,4,0,W 4,Bud Walton Arena
5,"Wed, Dec 9, 2020",8:00p,REG,,Southern,SWAC,W,79,44,,5,0,W 5,Bud Walton Arena
6,"Sat, Dec 12, 2020",8:00p,REG,,Central Arkansas,Southland,W,100,75,,6,0,W 6,Bud Walton Arena
7,"Sun, Dec 20, 2020",2:00p,REG,,Oral Roberts,Summit,W,87,76,,7,0,W 7,Bud Walton Arena
8,"Tue, Dec 22, 2020",5:00p,REG,,Abilene Christian,Southland,W,85,72,,8,0,W 8,Bud Walton Arena
9,"Wed, Dec 30, 2020",7:00p,REG,@,Auburn,SEC,W,97,85,,9,0,W 9,Auburn Arena
10,"Sat, Jan 2, 2021",12:00p,REG,,Missouri (12),SEC,L,68,81,,9,1,L 1,Bud Walton Arena
11,"Wed, Jan 6, 2021",7:00p,REG,@,Tennessee (9),SEC,L,74,79,,9,2,L 2,Thompson-Boling Arena
12,"Sat, Jan 9, 2021",3:30p,REG,,Georgia,SEC,W,99,69,,10,2,W 1,Bud Walton Arena
13,"Wed, Jan 13, 2021",7:00p,REG,@,Louisiana State,SEC,L,76,92,,10,3,L 1,Maravich Assembly Center
14,"Sat, Jan 16, 2021",3:30p,REG,@,Alabama,SEC,L,59,90,,10,4,L 2,Coleman Coliseum
15,"Wed, Jan 20, 2021",9:00p,REG,,Auburn,SEC,W,75,73,,11,4,W 1,Bud Walton Arena
16,"Sat, Jan 23, 2021",1:00p,REG,@,Vanderbilt,SEC,W,92,71,,12,4,W 2,Memorial Gymnasium
17,"Wed, Jan 27, 2021",8:30p,REG,,Mississippi,SEC,W,74,59,,13,4,W 3,Bud Walton Arena
18,"Sat, Jan 30, 2021",4:00p,REG,@,Oklahoma State,Big 12,L,77,81,,13,5,L 1,Gallagher-Iba Arena
19,"Tue, Feb 2, 2021",9:00p,REG,,Mississippi State,SEC,W,61,45,,14,5,W 1,Bud Walton Arena
20,"Tue, Feb 9, 2021",7:00p,REG,@,Kentucky,SEC,W,81,80,,15,5,W 2,Rupp Arena
21,"Sat, Feb 13, 2021",4:00p,REG,@,Missouri (10),SEC,W,86,81,OT,16,5,W 3,Mizzou Arena
22,"Tue, Feb 16, 2021",7:00p,REG,,Florida,SEC,W,75,64,,17,5,W 4,Bud Walton Arena
23,"Wed, Feb 24, 2021",9:00p,REG,,Alabama (6),SEC,W,81,66,,18,5,W 5,Bud Walton Arena
24,"Sat, Feb 27, 2021",2:00p,REG,,Louisiana State,SEC,W,83,75,,19,5,W 6,Bud Walton Arena
25,"Tue, Mar 2, 2021",6:30p,REG,@,South Carolina,SEC,W,101,73,,20,5,W 7,The Colonial Life Arena
26,"Sat, Mar 6, 2021",5:00p,REG,,Texas A&M,SEC,W,87,80,,21,5,W 8,Bud Walton Arena
27,"Fri, Mar 12, 2021",7:00p,CTOURN,N,Missouri,SEC,W,70,64,,22,5,W 9,Bridgestone Arena
28,"Sat, Mar 13, 2021",3:30p,CTOURN,N,Louisiana State,SEC,L,71,78,,22,6,L 1,Bridgestone Arena
29,"Fri, Mar 19, 2021",12:45p,NCAA,N,Colgate,Patriot,W,85,68,,23,6,W 1,Bankers Life Fieldhouse
30,"Sun, Mar 21, 2021",6:10p,NCAA,N,Texas Tech (21),Big 12,W,68,66,,24,6,W 2,Hinkle Fieldhouse
31,"Sat, Mar 27, 2021",7:25p,NCAA,N,Oral Roberts,Summit,W,72,70,,25,6,W 3,Bankers Life Fieldhouse
32,"Mon, Mar 29, 2021",9:57p,NCAA,N,Baylor (3),Big 12,L,72,81,,25,7,L 1,Lucas Oil Stadium
