G,Date,Time,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak,Arena
1,"Thu, Nov 26, 2020",4:30p,REG,N,Saint Joseph's,A-10,W,96,91,OT,1,0,W 1,Suncoast Credit Union Arena
2,"Fri, Nov 27, 2020",11:00a,REG,N,Gonzaga (1),WCC,L,67,90,,1,1,L 1,Suncoast Credit Union Arena
3,"Mon, Nov 30, 2020",7:00p,REG,@,Central Florida,AAC,L,55,63,,1,2,L 2,CFE Arena
4,"Fri, Dec 4, 2020",9:00p,REG,,South Alabama,Sun Belt,W,90,81,,2,2,W 1,Auburn Arena
5,"Sat, Dec 12, 2020",5:30p,REG,N,Memphis,AAC,W,74,71,,3,2,W 2,Philips Arena
6,"Tue, Dec 15, 2020",7:00p,REG,,Texas Southern,SWAC,W,80,63,,4,2,W 3,Auburn Arena
7,"Sat, Dec 19, 2020",12:00p,REG,,Troy,Sun Belt,W,77,41,,5,2,W 4,Auburn Arena
8,"Tue, Dec 22, 2020",3:00p,REG,,Appalachian State,Sun Belt,W,67,53,,6,2,W 5,Auburn Arena
9,"Wed, Dec 30, 2020",7:00p,REG,,Arkansas,SEC,L,85,97,,6,3,L 1,Auburn Arena
10,"Sat, Jan 2, 2021",3:30p,REG,@,Texas A&M,SEC,L,66,68,,6,4,L 2,Reed Arena
11,"Wed, Jan 6, 2021",9:00p,REG,@,Mississippi,SEC,L,61,72,,6,5,L 3,The Pavilion at Ole Miss
12,"Sat, Jan 9, 2021",12:00p,REG,,Alabama,SEC,L,90,94,,6,6,L 4,Auburn Arena
13,"Wed, Jan 13, 2021",7:00p,REG,@,Georgia,SEC,W,95,77,,7,6,W 1,Stegeman Coliseum
14,"Sat, Jan 16, 2021",2:00p,REG,,Kentucky,SEC,W,66,59,,8,6,W 2,Auburn Arena
15,"Wed, Jan 20, 2021",9:00p,REG,@,Arkansas,SEC,L,73,75,,8,7,L 1,Bud Walton Arena
16,"Sat, Jan 23, 2021",12:00p,REG,@,South Carolina,SEC,W,109,86,,9,7,W 1,The Colonial Life Arena
17,"Tue, Jan 26, 2021",9:00p,REG,,Missouri (12),SEC,W,88,82,,10,7,W 2,Auburn Arena
18,"Sat, Jan 30, 2021",4:00p,REG,@,Baylor (2),Big 12,L,72,84,,10,8,L 1,Ferrell Center
19,"Tue, Feb 2, 2021",7:00p,REG,,Georgia,SEC,L,86,91,,10,9,L 2,Auburn Arena
20,"Sat, Feb 6, 2021",4:00p,REG,,Mississippi,SEC,L,84,86,OT,10,10,L 3,Auburn Arena
21,"Tue, Feb 9, 2021",8:30p,REG,@,Vanderbilt,SEC,W,73,67,,11,10,W 1,Memorial Gymnasium
22,"Sat, Feb 13, 2021",1:00p,REG,@,Kentucky,SEC,L,80,82,,11,11,L 1,Rupp Arena
23,"Sat, Feb 20, 2021",4:00p,REG,@,Louisiana State,SEC,L,80,104,,11,12,L 2,Maravich Assembly Center
24,"Tue, Feb 23, 2021",7:00p,REG,,Florida,SEC,L,57,74,,11,13,L 3,Auburn Arena
25,"Sat, Feb 27, 2021",12:00p,REG,,Tennessee (25),SEC,W,77,72,,12,13,W 1,Auburn Arena
26,"Tue, Mar 2, 2021",7:00p,REG,@,Alabama (8),SEC,L,58,70,,12,14,L 1,Coleman Coliseum
27,"Sat, Mar 6, 2021",1:00p,REG,,Mississippi State,SEC,W,78,71,,13,14,W 1,Auburn Arena
