G,Date,Time,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak,Arena
1,"Sun, Nov 29, 2020",2:00p,REG,,Florida A&M,MEAC,W,85,75,,1,0,W 1,Stegeman Coliseum
2,"Wed, Dec 2, 2020",7:00p,REG,,North Georgia,,W,84,62,,2,0,W 2,Stegeman Coliseum
3,"Fri, Dec 4, 2020",7:00p,REG,,Jacksonville,A-Sun,W,98,65,,3,0,W 3,Stegeman Coliseum
4,"Tue, Dec 8, 2020",7:00p,REG,,Montana,Big Sky,W,63,50,,4,0,W 4,Stegeman Coliseum
5,"Sat, Dec 12, 2020",7:00p,REG,,Samford,Southern,W,79,75,,5,0,W 5,Stegeman Coliseum
6,"Sat, Dec 19, 2020",8:00p,REG,,Cincinnati,AAC,W,83,68,,6,0,W 6,Stegeman Coliseum
7,"Tue, Dec 22, 2020",7:00p,REG,,Northeastern,CAA,W,76,58,,7,0,W 7,Stegeman Coliseum
8,"Wed, Dec 30, 2020",7:00p,REG,,Mississippi State,SEC,L,73,83,,7,1,L 1,Stegeman Coliseum
9,"Wed, Jan 6, 2021",7:00p,REG,@,Louisiana State,SEC,L,92,94,OT,7,2,L 2,Maravich Assembly Center
10,"Sat, Jan 9, 2021",3:30p,REG,@,Arkansas,SEC,L,69,99,,7,3,L 3,Bud Walton Arena
11,"Wed, Jan 13, 2021",7:00p,REG,,Auburn,SEC,L,77,95,,7,4,L 4,Stegeman Coliseum
12,"Sat, Jan 16, 2021",12:00p,REG,@,Mississippi,SEC,W,78,74,,8,4,W 1,The Pavilion at Ole Miss
13,"Wed, Jan 20, 2021",7:00p,REG,,Kentucky,SEC,W,63,62,,9,4,W 2,Stegeman Coliseum
14,"Sat, Jan 23, 2021",2:00p,REG,,Florida,SEC,L,84,92,,9,5,L 1,Stegeman Coliseum
15,"Wed, Jan 27, 2021",7:00p,REG,@,South Carolina,SEC,L,59,83,,9,6,L 2,The Colonial Life Arena
16,"Sat, Jan 30, 2021",6:00p,REG,,Mississippi,SEC,W,71,61,,10,6,W 1,Stegeman Coliseum
17,"Tue, Feb 2, 2021",7:00p,REG,@,Auburn,SEC,W,91,86,,11,6,W 2,Auburn Arena
18,"Sat, Feb 6, 2021",6:00p,REG,,Vanderbilt,SEC,W,73,70,,12,6,W 3,Stegeman Coliseum
19,"Wed, Feb 10, 2021",8:00p,REG,@,Tennessee (16),SEC,L,81,89,,12,7,L 1,Thompson-Boling Arena
20,"Sat, Feb 13, 2021",3:30p,REG,@,Alabama (11),SEC,L,82,115,,12,8,L 2,Coleman Coliseum
21,"Tue, Feb 16, 2021",7:00p,REG,,Missouri (20),SEC,W,80,70,,13,8,W 1,Stegeman Coliseum
22,"Sat, Feb 20, 2021",3:30p,REG,@,Florida,SEC,L,63,70,,13,9,L 1,Stephen C. O'Connell Center
23,"Tue, Feb 23, 2021",7:00p,REG,,Louisiana State,SEC,W,91,78,,14,9,W 1,Stegeman Coliseum
24,"Sat, Feb 27, 2021",1:00p,REG,,South Carolina,SEC,L,70,91,,14,10,L 1,Stegeman Coliseum
25,"Sat, Mar 6, 2021",2:00p,REG,,Alabama (8),SEC,L,79,89,,14,11,L 2,Stegeman Coliseum
26,"Thu, Mar 11, 2021",7:00p,CTOURN,N,Missouri,SEC,L,70,73,,14,12,L 3,Bridgestone Arena
