G,Date,Time,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak,Arena
1,"Wed, Nov 25, 2020",6:00p,REG,,Morehead State,OVC,W,81,45,,1,0,W 1,Rupp Arena
2,"Sun, Nov 29, 2020",1:00p,REG,,Richmond,A-10,L,64,76,,1,1,L 1,Rupp Arena
3,"Tue, Dec 1, 2020",9:30p,REG,N,Kansas (7),Big 12,L,62,65,,1,2,L 2,Bankers Life Fieldhouse
4,"Sun, Dec 6, 2020",5:00p,REG,@,Georgia Tech,ACC,L,62,79,,1,3,L 3,Philips Arena
5,"Sat, Dec 12, 2020",12:00p,REG,,Notre Dame,ACC,L,63,64,,1,4,L 4,Rupp Arena
6,"Sat, Dec 19, 2020",2:00p,REG,N,North Carolina (22),ACC,L,63,75,,1,5,L 5,Quicken Loans Arena
7,"Sat, Dec 26, 2020",1:00p,REG,@,Louisville,ACC,L,59,62,,1,6,L 6,KFC Yum! Center
8,"Sat, Jan 2, 2021",6:00p,REG,@,Mississippi State,SEC,W,78,73,2OT,2,6,W 1,Humphrey Coliseum
9,"Tue, Jan 5, 2021",7:00p,REG,,Vanderbilt,SEC,W,77,74,,3,6,W 2,Rupp Arena
10,"Sat, Jan 9, 2021",5:00p,REG,@,Florida,SEC,W,76,58,,4,6,W 3,Stephen C. O'Connell Center
11,"Tue, Jan 12, 2021",9:00p,REG,,Alabama,SEC,L,65,85,,4,7,L 1,Rupp Arena
12,"Sat, Jan 16, 2021",2:00p,REG,@,Auburn,SEC,L,59,66,,4,8,L 2,Auburn Arena
13,"Wed, Jan 20, 2021",7:00p,REG,@,Georgia,SEC,L,62,63,,4,9,L 3,Stegeman Coliseum
14,"Sat, Jan 23, 2021",6:00p,REG,,Louisiana State,SEC,W,82,69,,5,9,W 1,Rupp Arena
15,"Tue, Jan 26, 2021",7:00p,REG,@,Alabama (9),SEC,L,59,70,,5,10,L 1,Coleman Coliseum
16,"Wed, Feb 3, 2021",7:00p,REG,@,Missouri (18),SEC,L,70,75,,5,11,L 2,Mizzou Arena
17,"Sat, Feb 6, 2021",8:00p,REG,,Tennessee (11),SEC,L,71,82,,5,12,L 3,Rupp Arena
18,"Tue, Feb 9, 2021",7:00p,REG,,Arkansas,SEC,L,80,81,,5,13,L 4,Rupp Arena
19,"Sat, Feb 13, 2021",1:00p,REG,,Auburn,SEC,W,82,80,,6,13,W 1,Rupp Arena
20,"Wed, Feb 17, 2021",7:00p,REG,@,Vanderbilt,SEC,W,82,78,,7,13,W 2,Memorial Gymnasium
21,"Sat, Feb 20, 2021",1:00p,REG,@,Tennessee (19),SEC,W,70,55,,8,13,W 3,Thompson-Boling Arena
22,"Sat, Feb 27, 2021",4:00p,REG,,Florida,SEC,L,67,71,,8,14,L 1,Rupp Arena
23,"Tue, Mar 2, 2021",9:00p,REG,@,Mississippi,SEC,L,62,70,,8,15,L 2,The Pavilion at Ole Miss
24,"Sat, Mar 6, 2021",12:00p,REG,,South Carolina,SEC,W,92,64,,9,15,W 1,Rupp Arena
25,"Thu, Mar 11, 2021",12:00p,CTOURN,N,Mississippi State,SEC,L,73,74,,9,16,L 1,Bridgestone Arena
