G,Date,Time,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak,Arena
1,"Wed, Nov 25, 2020",8:00p,REG,N,Clemson,ACC,L,42,53,,0,1,L 1,Titan Field House
2,"Thu, Nov 26, 2020",6:00p,REG,N,Liberty,A-Sun,L,73,84,,0,2,L 2,Titan Field House
3,"Mon, Nov 30, 2020",8:00p,REG,,Texas State,Sun Belt,W,68,51,,1,2,W 1,Humphrey Coliseum
4,"Fri, Dec 4, 2020",8:00p,REG,,North Texas,CUSA,W,69,63,,2,2,W 2,Humphrey Coliseum
5,"Tue, Dec 8, 2020",9:00p,REG,,Jackson State,SWAC,W,82,59,,3,2,W 3,Humphrey Coliseum
6,"Sat, Dec 12, 2020",3:00p,REG,N,Dayton,A-10,L,82,85,2OT,3,3,L 1,Philips Arena
7,"Wed, Dec 16, 2020",7:00p,REG,,Central Arkansas,Southland,W,81,65,,4,3,W 1,Humphrey Coliseum
8,"Mon, Dec 21, 2020",8:00p,REG,,Mississippi Valley State,SWAC,W,87,48,,5,3,W 2,Humphrey Coliseum
9,"Wed, Dec 30, 2020",7:00p,REG,@,Georgia,SEC,W,83,73,,6,3,W 3,Stegeman Coliseum
10,"Sat, Jan 2, 2021",6:00p,REG,,Kentucky,SEC,L,73,78,2OT,6,4,L 1,Humphrey Coliseum
11,"Tue, Jan 5, 2021",9:00p,REG,,Missouri (13),SEC,W,78,63,,7,4,W 1,Humphrey Coliseum
12,"Sat, Jan 9, 2021",1:00p,REG,@,Vanderbilt,SEC,W,84,81,,8,4,W 2,Memorial Gymnasium
13,"Wed, Jan 13, 2021",9:00p,REG,,Texas A&M,SEC,L,55,56,,8,5,L 1,Humphrey Coliseum
14,"Sat, Jan 16, 2021",4:00p,REG,,Florida,SEC,W,72,69,,9,5,W 1,Humphrey Coliseum
15,"Tue, Jan 19, 2021",9:00p,REG,,Mississippi,SEC,L,46,64,,9,6,L 1,Humphrey Coliseum
16,"Sat, Jan 23, 2021",6:00p,REG,@,Alabama (18),SEC,L,73,81,,9,7,L 2,Coleman Coliseum
17,"Tue, Jan 26, 2021",7:00p,REG,@,Tennessee (18),SEC,L,53,56,,9,8,L 3,Thompson-Boling Arena
18,"Sat, Jan 30, 2021",6:00p,REG,,Iowa State,Big 12,W,95,56,,10,8,W 1,Humphrey Coliseum
19,"Tue, Feb 2, 2021",9:00p,REG,@,Arkansas,SEC,L,45,61,,10,9,L 1,Bud Walton Arena
20,"Sat, Feb 6, 2021",3:30p,REG,@,South Carolina,SEC,W,75,59,,11,9,W 1,The Colonial Life Arena
21,"Wed, Feb 10, 2021",9:00p,REG,,Louisiana State,SEC,L,80,94,,11,10,L 1,Humphrey Coliseum
22,"Sat, Feb 13, 2021",1:00p,REG,,Vanderbilt,SEC,L,51,72,,11,11,L 2,Humphrey Coliseum
23,"Sat, Feb 20, 2021",6:00p,REG,@,Mississippi,SEC,W,66,56,,12,11,W 1,The Pavilion at Ole Miss
24,"Wed, Feb 24, 2021",7:00p,REG,,South Carolina,SEC,W,69,48,,13,11,W 2,Humphrey Coliseum
25,"Sat, Feb 27, 2021",6:00p,REG,,Alabama (6),SEC,L,59,64,,13,12,L 1,Humphrey Coliseum
26,"Wed, Mar 3, 2021",8:30p,REG,@,Texas A&M,SEC,W,63,57,,14,12,W 1,Reed Arena
27,"Sat, Mar 6, 2021",1:00p,REG,@,Auburn,SEC,L,71,78,,14,13,L 1,Auburn Arena
28,"Thu, Mar 11, 2021",12:00p,CTOURN,N,Kentucky,SEC,W,74,73,,15,13,W 1,Bridgestone Arena
29,"Fri, Mar 12, 2021",12:00p,CTOURN,N,Alabama (6),SEC,L,48,85,,15,14,L 1,Bridgestone Arena
30,"Sat, Mar 20, 2021",5:00p,NIT,N,Saint Louis,A-10,W,74,68,,16,14,W 1,Comerica
31,"Thu, Mar 25, 2021",6:00p,NIT,N,Richmond,A-10,W,68,67,,17,14,W 2,UNT Coliseum
32,"Sat, Mar 27, 2021",3:00p,NIT,N,Louisiana Tech,CUSA,W,84,62,,18,14,W 3,Comerica
33,"Sun, Mar 28, 2021",12:00p,NIT,N,Memphis,AAC,L,64,77,,18,15,L 1,Comerica
