G,Date,Time,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak,Arena
1,"Sat, Nov 28, 2020",4:00p,REG,N,Liberty,A-Sun,L,62,78,,0,1,L 1,Sprint Center
2,"Sun, Nov 29, 2020",1:00p,REG,N,Tulsa,AAC,W,69,58,,1,1,W 1,Sprint Center
3,"Sat, Dec 5, 2020",6:00p,REG,@,Houston (10),AAC,L,67,77,,1,2,L 1,Hofheinz Pavilion
4,"Sat, Jan 2, 2021",1:00p,REG,,Florida A&M,MEAC,W,78,71,,2,2,W 1,The Colonial Life Arena
5,"Wed, Jan 6, 2021",9:00p,REG,,Texas A&M,SEC,W,78,54,,3,2,W 2,The Colonial Life Arena
6,"Sat, Jan 16, 2021",8:30p,REG,@,Louisiana State,SEC,L,80,85,,3,3,L 1,Maravich Assembly Center
7,"Tue, Jan 19, 2021",7:00p,REG,@,Missouri (19),SEC,L,70,81,,3,4,L 2,Mizzou Arena
8,"Sat, Jan 23, 2021",12:00p,REG,,Auburn,SEC,L,86,109,,3,5,L 3,The Colonial Life Arena
9,"Wed, Jan 27, 2021",7:00p,REG,,Georgia,SEC,W,83,59,,4,5,W 1,The Colonial Life Arena
10,"Sat, Jan 30, 2021",8:30p,REG,@,Vanderbilt,SEC,L,81,93,,4,6,L 1,Memorial Gymnasium
11,"Wed, Feb 3, 2021",6:30p,REG,@,Florida (22),SEC,W,72,66,,5,6,W 1,Stephen C. O'Connell Center
12,"Sat, Feb 6, 2021",3:30p,REG,,Mississippi State,SEC,L,59,75,,5,7,L 1,The Colonial Life Arena
13,"Tue, Feb 9, 2021",6:30p,REG,,Alabama (11),SEC,L,78,81,,5,8,L 2,The Colonial Life Arena
14,"Sat, Feb 13, 2021",6:00p,REG,,Mississippi,SEC,L,74,81,,5,9,L 3,The Colonial Life Arena
15,"Wed, Feb 17, 2021",9:00p,REG,@,Tennessee (19),SEC,L,73,93,,5,10,L 4,Thompson-Boling Arena
16,"Sat, Feb 20, 2021",2:00p,REG,,Missouri (20),SEC,L,78,93,,5,11,L 5,The Colonial Life Arena
17,"Wed, Feb 24, 2021",7:00p,REG,@,Mississippi State,SEC,L,48,69,,5,12,L 6,Humphrey Coliseum
18,"Sat, Feb 27, 2021",1:00p,REG,@,Georgia,SEC,W,91,70,,6,12,W 1,Stegeman Coliseum
19,"Tue, Mar 2, 2021",6:30p,REG,,Arkansas (12),SEC,L,73,101,,6,13,L 1,The Colonial Life Arena
20,"Sat, Mar 6, 2021",12:00p,REG,@,Kentucky,SEC,L,64,92,,6,14,L 2,Rupp Arena
21,"Thu, Mar 11, 2021",9:30p,CTOURN,N,Mississippi,SEC,L,59,76,,6,15,L 3,Bridgestone Arena
