G,Date,Time,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak,Arena
1,"Tue, Dec 8, 2020",6:00p,REG,,Colorado,Pac-12,W,56,47,,1,0,W 1,Thompson-Boling Arena
2,"Sat, Dec 12, 2020",12:30p,REG,,Cincinnati,AAC,W,65,56,,2,0,W 2,Thompson-Boling Arena
3,"Tue, Dec 15, 2020",7:00p,REG,,Appalachian State,Sun Belt,W,79,38,,3,0,W 3,Thompson-Boling Arena
4,"Fri, Dec 18, 2020",7:00p,REG,,Tennessee Tech,OVC,W,103,49,,4,0,W 4,Thompson-Boling Arena
5,"Mon, Dec 21, 2020",6:00p,REG,,Saint Joseph's,A-10,W,102,66,,5,0,W 5,Thompson-Boling Arena
6,"Wed, Dec 23, 2020",5:00p,REG,,South Carolina Upstate,Big South,W,80,60,,6,0,W 6,Thompson-Boling Arena
7,"Wed, Dec 30, 2020",9:00p,REG,@,Missouri (12),SEC,W,73,53,,7,0,W 7,Mizzou Arena
8,"Sat, Jan 2, 2021",6:00p,REG,,Alabama,SEC,L,63,71,,7,1,L 1,Thompson-Boling Arena
9,"Wed, Jan 6, 2021",7:00p,REG,,Arkansas,SEC,W,79,74,,8,1,W 1,Thompson-Boling Arena
10,"Sat, Jan 9, 2021",2:00p,REG,@,Texas A&M,SEC,W,68,54,,9,1,W 2,Reed Arena
11,"Sat, Jan 16, 2021",6:00p,REG,,Vanderbilt,SEC,W,81,61,,10,1,W 3,Thompson-Boling Arena
12,"Tue, Jan 19, 2021",7:00p,REG,@,Florida,SEC,L,49,75,,10,2,L 1,Stephen C. O'Connell Center
13,"Sat, Jan 23, 2021",8:30p,REG,,Missouri (19),SEC,L,64,73,,10,3,L 2,Thompson-Boling Arena
14,"Tue, Jan 26, 2021",7:00p,REG,,Mississippi State,SEC,W,56,53,,11,3,W 1,Thompson-Boling Arena
15,"Sat, Jan 30, 2021",6:00p,REG,,Kansas (15),Big 12,W,80,61,,12,3,W 2,Thompson-Boling Arena
16,"Tue, Feb 2, 2021",7:00p,REG,@,Mississippi,SEC,L,50,52,,12,4,L 1,The Pavilion at Ole Miss
17,"Sat, Feb 6, 2021",8:00p,REG,@,Kentucky,SEC,W,82,71,,13,4,W 1,Rupp Arena
18,"Wed, Feb 10, 2021",8:00p,REG,,Georgia,SEC,W,89,81,,14,4,W 2,Thompson-Boling Arena
19,"Sat, Feb 13, 2021",2:00p,REG,@,Louisiana State,SEC,L,65,78,,14,5,L 1,Maravich Assembly Center
20,"Wed, Feb 17, 2021",9:00p,REG,,South Carolina,SEC,W,93,73,,15,5,W 1,Thompson-Boling Arena
21,"Sat, Feb 20, 2021",1:00p,REG,,Kentucky,SEC,L,55,70,,15,6,L 1,Thompson-Boling Arena
22,"Wed, Feb 24, 2021",9:00p,REG,@,Vanderbilt,SEC,W,70,58,,16,6,W 1,Memorial Gymnasium
23,"Sat, Feb 27, 2021",12:00p,REG,@,Auburn,SEC,L,72,77,,16,7,L 1,Auburn Arena
24,"Sun, Mar 7, 2021",12:00p,REG,,Florida,SEC,W,65,54,,17,7,W 1,Thompson-Boling Arena
25,"Fri, Mar 12, 2021",2:20p,CTOURN,N,Florida,SEC,W,78,66,,18,7,W 2,Bridgestone Arena
26,"Sat, Mar 13, 2021",1:00p,CTOURN,N,Alabama (6),SEC,L,68,73,,18,8,L 1,Bridgestone Arena
27,"Fri, Mar 19, 2021",4:30p,NCAA,N,Oregon State,Pac-12,L,56,70,,18,9,L 2,Bankers Life Fieldhouse
