G,Date,Time,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak,Arena
1,"Sun, Nov 29, 2020",3:00p,REG,,New Orleans,Southland,W,82,53,,1,0,W 1,Reed Arena
2,"Wed, Dec 2, 2020",7:00p,REG,,Tarleton State,WAC,W,73,66,,2,0,W 2,Reed Arena
3,"Sun, Dec 6, 2020",4:00p,REG,,Texas-Rio Grande Valley,WAC,W,81,68,,3,0,W 3,Reed Arena
4,"Sat, Dec 12, 2020",2:00p,REG,N,Texas Christian,Big 12,L,55,73,,3,1,L 1,
5,"Tue, Dec 15, 2020",7:00p,REG,,Southeastern Louisiana,Southland,W,69,52,,4,1,W 1,Reed Arena
6,"Mon, Dec 21, 2020",1:00p,REG,,Wofford,Southern,W,70,52,,5,1,W 2,Reed Arena
7,"Tue, Dec 29, 2020",7:00p,REG,@,Louisiana State,SEC,L,54,77,,5,2,L 1,Maravich Assembly Center
8,"Sat, Jan 2, 2021",3:30p,REG,,Auburn,SEC,W,68,66,,6,2,W 1,Reed Arena
9,"Wed, Jan 6, 2021",9:00p,REG,@,South Carolina,SEC,L,54,78,,6,3,L 1,The Colonial Life Arena
10,"Sat, Jan 9, 2021",2:00p,REG,,Tennessee (9),SEC,L,54,68,,6,4,L 2,Reed Arena
11,"Wed, Jan 13, 2021",9:00p,REG,@,Mississippi State,SEC,W,56,55,,7,4,W 1,Humphrey Coliseum
12,"Sat, Jan 16, 2021",1:00p,REG,,Missouri (17),SEC,L,52,68,,7,5,L 1,Reed Arena
13,"Sat, Jan 23, 2021",3:30p,REG,@,Mississippi,SEC,L,50,61,,7,6,L 2,The Pavilion at Ole Miss
14,"Tue, Jan 26, 2021",9:00p,REG,,Louisiana State,SEC,L,66,78,,7,7,L 3,Reed Arena
15,"Sat, Jan 30, 2021",12:00p,REG,@,Kansas State,Big 12,W,68,61,,8,7,W 1,Bramlage Coliseum
16,"Wed, Mar 3, 2021",8:30p,REG,,Mississippi State,SEC,L,57,63,,8,8,L 1,Reed Arena
17,"Sat, Mar 6, 2021",5:00p,REG,@,Arkansas (12),SEC,L,80,87,,8,9,L 2,Bud Walton Arena
18,"Wed, Mar 10, 2021",7:00p,CTOURN,N,Vanderbilt,SEC,L,68,79,,8,10,L 3,Bridgestone Arena
