G,Date,Time,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak,Arena
1,"Fri, Nov 27, 2020",7:00p,REG,,Valparaiso,MVC,W,77,71,,1,0,W 1,Memorial Gymnasium
2,"Sun, Dec 13, 2020",2:00p,REG,,Mississippi Valley State,SWAC,W,84,41,,2,0,W 2,Memorial Gymnasium
3,"Wed, Dec 16, 2020",1:00p,REG,,Richmond,A-10,L,67,78,,2,1,L 1,Memorial Gymnasium
4,"Sat, Dec 19, 2020",8:00p,REG,,Radford,Big South,W,59,50,,3,1,W 1,Memorial Gymnasium
5,"Tue, Dec 22, 2020",7:00p,REG,@,Davidson,A-10,L,65,85,,3,2,L 1,Belk Arena
6,"Sun, Dec 27, 2020",4:00p,REG,,Alcorn State,SWAC,W,87,59,,4,2,W 1,Memorial Gymnasium
7,"Wed, Dec 30, 2020",9:00p,REG,,Florida,SEC,L,72,91,,4,3,L 1,Memorial Gymnasium
8,"Tue, Jan 5, 2021",7:00p,REG,@,Kentucky,SEC,L,74,77,,4,4,L 2,Rupp Arena
9,"Sat, Jan 9, 2021",1:00p,REG,,Mississippi State,SEC,L,81,84,,4,5,L 3,Memorial Gymnasium
10,"Sat, Jan 16, 2021",6:00p,REG,@,Tennessee (10),SEC,L,61,81,,4,6,L 4,Thompson-Boling Arena
11,"Sat, Jan 23, 2021",1:00p,REG,,Arkansas,SEC,L,71,92,,4,7,L 5,Memorial Gymnasium
12,"Wed, Jan 27, 2021",6:30p,REG,@,Florida,SEC,L,71,78,,4,8,L 6,Stephen C. O'Connell Center
13,"Sat, Jan 30, 2021",8:30p,REG,,South Carolina,SEC,W,93,81,,5,8,W 1,Memorial Gymnasium
14,"Sat, Feb 6, 2021",6:00p,REG,@,Georgia,SEC,L,70,73,,5,9,L 1,Stegeman Coliseum
15,"Tue, Feb 9, 2021",8:30p,REG,,Auburn,SEC,L,67,73,,5,10,L 2,Memorial Gymnasium
16,"Sat, Feb 13, 2021",1:00p,REG,@,Mississippi State,SEC,W,72,51,,6,10,W 1,Humphrey Coliseum
17,"Wed, Feb 17, 2021",7:00p,REG,,Kentucky,SEC,L,78,82,,6,11,L 1,Memorial Gymnasium
18,"Sat, Feb 20, 2021",1:00p,REG,@,Alabama (8),SEC,L,78,82,,6,12,L 2,Coleman Coliseum
19,"Wed, Feb 24, 2021",9:00p,REG,,Tennessee (25),SEC,L,58,70,,6,13,L 3,Memorial Gymnasium
20,"Sat, Feb 27, 2021",3:30p,REG,,Mississippi,SEC,W,75,70,,7,13,W 1,Memorial Gymnasium
21,"Tue, Mar 2, 2021",8:30p,REG,@,Louisiana State,SEC,L,68,83,,7,14,L 1,Maravich Assembly Center
22,"Thu, Mar 4, 2021",7:00p,REG,@,Cincinnati,AAC,W,78,64,,8,14,W 1,Fifth Third Arena
23,"Sat, Mar 6, 2021",7:00p,REG,@,Mississippi,SEC,L,46,56,,8,15,L 1,The Pavilion at Ole Miss
24,"Wed, Mar 10, 2021",7:00p,CTOURN,N,Texas A&M,SEC,W,79,68,,9,15,W 1,Bridgestone Arena
25,"Thu, Mar 11, 2021",2:30p,CTOURN,N,Florida,SEC,L,63,69,,9,16,L 1,Bridgestone Arena
