G,Date,Time,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak,Arena
1,"Thu, Dec 10, 2020",8:00p,REG,,Jackson State,SWAC,W,80,45,,1,0,W 1,The Pavilion at Ole Miss
2,"Sat, Dec 12, 2020",5:00p,REG,,North Carolina-Wilmington,CAA,W,78,58,,2,0,W 2,The Pavilion at Ole Miss
3,"Mon, Dec 14, 2020",8:00p,REG,,Central Arkansas,Southland,W,68,54,,3,0,W 3,The Pavilion at Ole Miss
4,"Wed, Dec 16, 2020",8:00p,REG,@,Middle Tennessee,CUSA,W,70,51,,4,0,W 4,Murphy Athletic Center
5,"Sat, Dec 19, 2020",2:30p,REG,@,Dayton,A-10,L,62,65,,4,1,L 1,University of Dayton Arena
6,"Tue, Dec 22, 2020",5:00p,REG,,Tennessee-Martin,OVC,W,90,43,,5,1,W 1,The Pavilion at Ole Miss
7,"Tue, Dec 29, 2020",9:00p,REG,@,Alabama,SEC,L,64,82,,5,2,L 1,Coleman Coliseum
8,"Sat, Jan 2, 2021",6:00p,REG,,Wichita State,AAC,L,79,83,,5,3,L 2,The Pavilion at Ole Miss
9,"Wed, Jan 6, 2021",9:00p,REG,,Auburn,SEC,W,72,61,,6,3,W 1,The Pavilion at Ole Miss
10,"Sat, Jan 9, 2021",8:30p,REG,,Louisiana State,SEC,L,61,75,,6,4,L 1,The Pavilion at Ole Miss
11,"Tue, Jan 12, 2021",7:00p,REG,@,Florida,SEC,L,63,72,,6,5,L 2,Stephen C. O'Connell Center
12,"Sat, Jan 16, 2021",12:00p,REG,,Georgia,SEC,L,74,78,,6,6,L 3,The Pavilion at Ole Miss
13,"Tue, Jan 19, 2021",9:00p,REG,@,Mississippi State,SEC,W,64,46,,7,6,W 1,Humphrey Coliseum
14,"Sat, Jan 23, 2021",3:30p,REG,,Texas A&M,SEC,W,61,50,,8,6,W 2,The Pavilion at Ole Miss
15,"Wed, Jan 27, 2021",8:30p,REG,@,Arkansas,SEC,L,59,74,,8,7,L 1,Bud Walton Arena
16,"Sat, Jan 30, 2021",6:00p,REG,@,Georgia,SEC,L,61,71,,8,8,L 2,Stegeman Coliseum
17,"Tue, Feb 2, 2021",7:00p,REG,,Tennessee (11),SEC,W,52,50,,9,8,W 1,The Pavilion at Ole Miss
18,"Sat, Feb 6, 2021",4:00p,REG,@,Auburn,SEC,W,86,84,OT,10,8,W 2,Auburn Arena
19,"Wed, Feb 10, 2021",9:00p,REG,,Missouri (10),SEC,W,80,59,,11,8,W 3,The Pavilion at Ole Miss
20,"Sat, Feb 13, 2021",6:00p,REG,@,South Carolina,SEC,W,81,74,,12,8,W 4,The Colonial Life Arena
21,"Sat, Feb 20, 2021",6:00p,REG,,Mississippi State,SEC,L,56,66,,12,9,L 1,The Pavilion at Ole Miss
22,"Tue, Feb 23, 2021",9:00p,REG,@,Missouri (24),SEC,W,60,53,,13,9,W 1,Mizzou Arena
23,"Sat, Feb 27, 2021",3:30p,REG,@,Vanderbilt,SEC,L,70,75,,13,10,L 1,Memorial Gymnasium
24,"Tue, Mar 2, 2021",9:00p,REG,,Kentucky,SEC,W,70,62,,14,10,W 1,The Pavilion at Ole Miss
25,"Sat, Mar 6, 2021",7:00p,REG,,Vanderbilt,SEC,W,56,46,,15,10,W 2,The Pavilion at Ole Miss
26,"Thu, Mar 11, 2021",9:30p,CTOURN,N,South Carolina,SEC,W,76,59,,16,10,W 3,Bridgestone Arena
27,"Fri, Mar 12, 2021",9:00p,CTOURN,N,Louisiana State,SEC,L,73,76,,16,11,L 1,Bridgestone Arena
28,"Fri, Mar 19, 2021",9:00p,NIT,N,Louisiana Tech,CUSA,L,61,70,,16,12,L 2,Comerica
